year,AE,BH,BR,CZ,EG,FR,IN,IQ,JO,KW,LB,OM,PS,QA,SA,SY,TH,TR,US,XM,YE
1952,,,,9129143.0,,42966968.0041,388515744.0,,,,,,,,,,,,156954000.0,,
1951,,,,9025794.0,,42660665.1434,382231040.0,,,,,,,,,,,,154287000.0,,
1950,,,,8921189.0,,42281482.2335,376325216.0,,,,,,,,,,,,151684000.0,,
1949,,,,,,41942335.0254,,,,,,,,,,,,,149188000.0,,
1948,,,,,,41533573.6041,,,,,,,,,,,,,146631000.0,,
1947,,,,,,41064213.198,,,,,,,,,,,,,144126000.0,,
1946,,,,,,40736274.1117,,,,,,,,,,,,,141389000.0,,
1945,,,,,,37313177.665,,,,,,,,,,,,,139928000.0,,
1944,,,,,,37209197.9695,,,,,,,,,,,,,138397000.0,,
1943,,,,,,37692142.132,,,,,,,,,,,,,136739000.0,,
1942,,,,,,37947299.4924,,,,,,,,,,,,,134860000.0,,
1941,,,,,,37957187.8173,,,,,,,,,,,,,133402000.0,,
1940,,,,,,40104263.9594,,,,,,,,,,,,,132122000.0,,
1939,,,,,,39984385.7868,,,,,,,,,,,,,131028000.0,,
1938,,,,,,41843746.1929,,,,,,,,,,,,,129969000.0,,
1937,,,,,,41825401.0152,,,,,,,,,,,,,128961000.0,,
1936,,,,,,41821705.5838,,,,,,,,,,,,,128181000.0,,
1935,,,,,,41876659.8985,,,,,,,,,,,,,127362000.0,,
1934,,,,,,41877005.0761,,,,,,,,,,,,,126485000.0,,
1933,,,,,,41904314.7208,,,,,,,,,,,,,125690000.0,,
1932,,,,,,41888954.3147,,,,,,,,,,,,,124949000.0,,
1931,,,,,,41885512.6904,,,,,,,,,,,,,124149000.0,,
1930,,,,,,41535086.2944,,,,,,,,,,,,,123188000.0,,
1929,,,,,,41361563.4518,,,,,,,,,,,,,121878000.0,,
1928,,,,,,41173817.2589,,,,,,,,,,,,,120509000.0,,
1927,,,,,,41019461.9289,,,,,,,,,,,,,119035000.0,,
1926,,,,,,40829045.6853,,,,,,,,,,,,,117397000.0,,
1925,,,,,,40590152.2843,,,,,,,,,,,,,115829000.0,,
1924,,,,,,40213746.1929,,,,,,,,,,,,,114109000.0,,
1923,,,,,,39846192.8934,,,,,,,,,,,,,111947000.0,,
1922,,,,,,39571969.5431,,,,,,,,,,,,,110049000.0,,
1921,,,,,,39363553.2995,,,,,,,,,,,,,108538000.0,,
1920,,,,,,38967482.2335,,,,,,,,,,,,,106461000.0,,
1919,,,,,,38028071.066,,,,,,,,,,,,,104514000.0,,
1918,,,,,,38523350.2538,,,,,,,,,,,,,103208000.0,,
1917,,,,,,38869736.0406,,,,,,,,,,,,,103268000.0,,
1916,,,,,,39325238.5787,,,,,,,,,,,,,101961000.0,,
1915,,,,,,39828588.8325,,,,,,,,,,,,,100546000.0,,
1914,,,,,,40031715.736,,,,,,,,,,,,,99111000.0,,
1913,,,,,,39936487.3096,,,,,,,,,,,,,97225000.0,,
1912,,,,,,39826832.4873,,,,,,,,,,,,,95335000.0,,
1911,,,,,,39825157.3604,,,,,,,,,,,,,93863000.0,,
1910,,,,,,39684233.5025,,,,,,,,,,,,,92407000.0,,
1909,,,,,,39618598.9848,,,,,,,,,,,,,90490000.0,,
1908,,,,,,39517928.934,,,,,,,,,,,,,88710000.0,,
1907,,,,,,39485461.9289,,,,,,,,,,,,,87008000.0,,
