year,ARE,SGP,USA,MWI,ARG,TUR,KEN,KOR,MUS,HUN,NOR,OMN,KWT,GHA,BRA,JOR,EGY,DNK,AUS,NGA,ESP,MYS,IND,QAT,CZE,GBR,THA,UGA,ZAF,SAU,LBN,ZMB,IRQ,YEM,RUS,SYC,ITA,URY,SYR,JPN,FRA,NZL
2016,,,,,,12733.0,,29158.0,,,,,,,,,,,,,,,,,,,6194.0,,,,,,,,,,,,,,,
2015,,,,,,12608.0,,28559.0,,,,,,,11156.0,,5782.0,,57469.0,,,,,,16224.0,,5923.0,,,,,,,,10558.0,,,,,,,
1983,,21448.0,38965.0,,,,,8159.0,4041.0,,49217.0,,,,,,,38018.0,35247.0,,17431.0,4260.0,798.0,,,,,,8899.0,,,,,,,,26856.0,,,23041.0,29038.0,32828.0
1982,,20050.0,38165.0,,,,,7457.0,3937.0,8939.0,47636.0,,,,,,,36997.0,37047.0,,17475.0,4140.0,799.0,,,,,,9339.0,,,,,,,,26661.0,,,22703.0,29148.0,30714.0
1981,,19280.0,39453.0,,,,,7142.0,3729.0,,48372.0,,,,,,,36226.0,36754.0,,17439.0,4271.0,789.0,,,,,,9915.0,,,,,,,,26878.0,,,22256.0,28896.0,30898.0
1980,,18173.0,39162.0,881.0,,,,6950.0,3742.0,8434.0,47885.0,,,,,,,37401.0,36335.0,,,4434.0,778.0,,,,,,10092.0,,,,,,8656.0,,27360.0,,,21851.0,29001.0,30003.0
1979,,17741.0,40382.0,821.0,,,,7487.0,4227.0,,45381.0,,,,,,,38062.0,36064.0,,,4219.0,758.0,,,,,,9323.0,,,,,,,,26587.0,,,21231.0,28962.0,30231.0
1978,,16897.0,40256.0,856.0,,,,7223.0,5050.0,8808.0,43904.0,,,,,,,37364.0,35197.0,,,3696.0,755.0,,,,,,9101.0,,,,,,,,25039.0,,,20220.0,28201.0,30846.0
1977,,16013.0,38914.0,836.0,,,,6691.0,4916.0,,43852.0,,,,,,,36216.0,35755.0,,,3416.0,725.0,,,,,,9063.0,,,,,,,,24309.0,,,19586.0,27379.0,30358.0
1976,,15546.0,37795.0,824.0,,,,6178.0,4918.0,8010.0,43616.0,,,,,,,35647.0,35016.0,,,3223.0,721.0,,,,,,9280.0,,,,,,8209.0,,23873.0,,,19049.0,26812.0,31361.0
1975,,15214.0,36476.0,795.0,,,,,3960.0,,42598.0,,,,,,,33393.0,34894.0,,,2706.0,630.0,,,,,,9666.0,,,,,,,,22325.0,,,18556.0,25896.0,31041.0
1974,,15060.0,37807.0,773.0,,,,,4545.0,7494.0,42296.0,,,,,,,33907.0,34634.0,,,3214.0,624.0,,,,,,10167.0,,,,,,,,23288.0,,,18056.0,26387.0,33555.0
1973,,14754.0,39020.0,737.0,23414.0,,,,3113.0,,40689.0,,,,,,,35985.0,33637.0,,,3137.0,698.0,,,,,,9638.0,,,,,,,,,,,18297.0,25644.0,35874.0
1972,,13772.0,37448.0,740.0,22239.0,,,,3268.0,6969.0,38879.0,,,,,,,34385.0,33333.0,,,2720.0,704.0,,,,,,8998.0,,,,,,7205.0,,,,,17237.0,24453.0,35079.0
1971,,12550.0,36120.0,686.0,21763.0,,,,2916.0,,37741.0,,,,,,,33003.0,32723.0,,13462.0,2639.0,701.0,,,,,,8949.0,,,,,,,8302.0,,,,16313.0,23696.0,31943.0
1970,,11680.0,35937.0,610.0,20930.0,,2152.0,,2818.0,6367.0,36040.0,,,,,,,32504.0,32468.0,,,2562.0,711.0,,,,,921.0,8778.0,,,2499.0,,,,7306.0,,,,15814.0,22793.0,30947.0
1969,,10666.0,36812.0,626.0,,,2347.0,,2922.0,,34795.0,,,,,,,,31548.0,,,2550.0,692.0,,,,,940.0,8691.0,,,2452.0,,,,6773.0,,,,14845.0,21785.0,32148.0
1968,,9731.0,36319.0,607.0,,,2231.0,,2858.0,5685.0,33267.0,,,,,,,29352.0,29835.0,,,2380.0,661.0,,,,,947.0,8457.0,,,2545.0,,,6396.0,6868.0,,,,13619.0,20623.0,29266.0
1967,,8864.0,35266.0,638.0,,,2119.0,,3179.0,,32692.0,,,,,,,28239.0,29338.0,,,2351.0,658.0,,,,,960.0,8240.0,,,2590.0,,,,6398.0,,,,12529.0,20056.0,29846.0
1966,,8160.0,34765.0,611.0,,,2107.0,,3118.0,4900.0,31563.0,,,,,,,26940.0,27843.0,,,2509.0,616.0,,,,,1003.0,7803.0,,,2456.0,,,5728.0,6427.0,,,,11683.0,19378.0,32076.0
1965,,7567.0,33193.0,551.0,,,1863.0,,3321.0,,30552.0,,,,,,,26553.0,27796.0,,,2441.0,621.0,,,,,1046.0,7648.0,,,2699.0,,,,5619.0,,,,10726.0,18538.0,30527.0
1964,,7194.0,31534.0,497.0,,,1875.0,,3297.0,4678.0,29115.0,,,,,,,25469.0,27158.0,,,2248.0,661.0,,,,,1048.0,7484.0,,,2361.0,,,5218.0,5798.0,,,,10610.0,17836.0,29057.0
1963,,7701.0,30263.0,497.0,,,1823.0,,3665.0,,28277.0,,,,,,,23237.0,25656.0,,,2167.0,622.0,,,,,967.0,7091.0,,,2154.0,,,,5541.0,,,,10004.0,16842.0,28153.0
1962,,7126.0,29248.0,518.0,,,1698.0,,3277.0,4313.0,27272.0,,,,,,,23424.0,24428.0,,,1816.0,601.0,,,,,845.0,6791.0,,,2152.0,,,,5063.0,,,,9609.0,16190.0,26846.0
1961,,6809.0,27825.0,527.0,17792.0,,1567.0,,3361.0,4157.0,26943.0,,,,,,,22363.0,24408.0,,7578.0,1762.0,598.0,,,,,795.0,6545.0,,,2287.0,,,4588.0,4707.0,,,,9195.0,15207.0,26771.0
1960,,6431.0,27430.0,497.0,16065.0,,1743.0,,2785.0,3993.0,25359.0,,,,,,,21222.0,24080.0,,,1825.0,591.0,,,,,838.0,6466.0,,,2324.0,,,,,,,,8548.0,14576.0,25603.0
1959,,6070.0,26897.0,497.0,15078.0,,1706.0,,2699.0,,24108.0,,,2114.0,,,,20908.0,23608.0,2071.0,6845.0,1738.0,560.0,,,,,821.0,6430.0,,,2222.0,,,,,,,,7905.0,13597.0,26137.0
1958,,6380.0,25350.0,491.0,16622.0,,1696.0,,2626.0,3119.0,23227.0,,,1893.0,,,,19528.0,22620.0,2022.0,6977.0,1664.0,558.0,,,,,799.0,6207.0,,,1868.0,,,,,,,,7442.0,13352.0,24591.0
1957,,6395.0,26033.0,483.0,15891.0,,1712.0,,2633.0,3105.0,23444.0,,,1997.0,,,,19279.0,21984.0,2088.0,6533.0,1711.0,527.0,,,,,811.0,6237.0,,,1989.0,,,,,,,,7121.0,13101.0,23942.0
