Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
;KY;1983;p0p100;2831.04711914;43862.6757812;41031.6328125;41031.6328125;17906.0;50692728.0;785405056.0;734712384.0;734712384.0;0.3628779352;;;0.7493097782;0.8333330154;0.8403117061;
;KY;1982;p0p100;2659.08496094;40006.7460938;37347.6601562;37347.6601562;17356.0;46151080.0;694357120.0;648206016.0;648206016.0;0.294464618;;;0.6348884106;0.8333330154;0.6893281937;
;KY;1981;p0p100;2491.42333984;37632.1640625;35140.7421875;35140.7421875;16789.0;41828508.0;631806400.0;589977920.0;589977920.0;0.2712696493;;;0.6206431985;0.8333330154;0.6438483;
;KY;1980;p0p100;2340.84741211;35570.53125;33229.6796875;33229.6796875;16162.0;37832776.0;574890880.0;537058112.0;537058112.0;0.2499016076;;;0.6253203154;0.8333330154;0.601554811;
;KY;1979;p0p100;2214.85424805;33870.90625;31656.0546875;31656.0546875;15444.0;34206208.0;523102304.0;488896096.0;488896096.0;0.2302168608;;;0.627342999;0.8333330154;0.589453876;
;KY;1978;p0p100;2109.9855957;32465.7207031;30355.7363281;30355.7363281;14661.0;30934500.0;475979936.0;445045440.0;445045440.0;0.2120826691;;;0.6252244115;0.8333330154;0.5691362023;
;KY;1977;p0p100;2021.75744629;31291.2167969;29269.4589844;29269.4589844;13841.0;27983144.0;433101728.0;405118592.0;405118592.0;0.195376873;;;0.6157213449;0.8333330154;0.5368977785;
;KY;1976;p0p100;1943.63867188;30263.1054688;28319.4667969;28319.4667969;13022.0;25310062.0;394086144.0;368776096.0;368776096.0;0.1799869984;;;0.6015898585;0.8333330154;0.5010204911;
;KY;1975;p0p100;1868.47631836;29286.6621094;27418.1855469;27418.1855469;12244.0;22877624.0;358585888.0;335708256.0;335708256.0;0.1658094227;;;0.584418416;0.8333330154;0.4807340801;
;KY;1974;p0p100;1797.92358398;28377.3789062;26579.4570312;26579.4570312;11498.0;20672526.0;326283104.0;305610592.0;305610592.0;0.15274854;;;0.586504519;0.8388286233;0.4482136369;
;KY;1973;p0p100;1733.4777832;27530.6074219;25797.1308594;25797.1308594;10784.0;18693824.0;296890080.0;278196256.0;278196256.0;0.1407165676;;;0.5869885087;0.816341877;0.4162550569;
;KY;1972;p0p100;1672.16296387;25615.4199219;23943.2558594;23943.2558594;10136.0;16949044.0;259637904.0;242688848.0;242688848.0;0.1208483279;;;0.5316849947;0.8004972935;0.3643401563;
;KY;1971;p0p100;1613.88378906;25066.8125;23452.9296875;23452.9296875;9581.0;15462621.0;240165120.0;224702512.0;224702512.0;0.1023475155;;;0.4699121416;0.8327594399;0.3093443513;
;KY;1970;p0p100;1548.87023926;25457.1464844;23908.2773438;23908.2773438;9144.0;14162870.0;232780144.0;218617280.0;218617280.0;0.083788082;;;0.4042161107;0.8278438449;0.2614414394;
;KY;1969;p0p100;;;;;8827.0;;;;;;;;;0.8333333135;;
;KY;1968;p0p100;;;;;8631.0;;;;;;;;;0.8333333135;;
;KY;1967;p0p100;;;;;8521.0;;;;;;;;;0.7274670005;;
;KY;1966;p0p100;;;;;8441.0;;;;;;;;;0.7142857313;;
;KY;1965;p0p100;;;;;8369.0;;;;;;;;;0.7142857313;;
;KY;1964;p0p100;;;;;8298.0;;;;;;;;;0.7142857313;;
;KY;1963;p0p100;;;;;8227.0;;;;;;;;;0.7142857313;;
;KY;1962;p0p100;;;;;8146.0;;;;;;;;;0.7142857313;;
;KY;1961;p0p100;;;;;8026.0;;;;;;;;;0.7142857313;;
;KY;1960;p0p100;;;;;7865.0;;;;;;;;;0.7142857313;;
;KY;1959;p0p100;;;;;7670.0;;;;;;;;;;;
;KY;1958;p0p100;;;;;7432.0;;;;;;;;;;;
