Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;IN;1975;p74p75;30451.6160093;44964.6072721;;;44566.5234375;0.011130929;0.011130929;30182.0195312
;IN;1975;p75p76;31153.9341856;46001.6445501;;;45597.7304688;0.0113876462;0.0113876462;30880.3886719
;IN;1975;p76p77;31909.7374703;47117.657502;;;46706.3203125;0.0116639137;0.0116639137;31631.1640625
;IN;1975;p77p78;32686.4129924;48264.490229;;;47843.5585938;0.0119478106;0.0119478106;32401.34375
;IN;1975;p78p79;33410.4187279;49333.5511796;;;48900.4140625;0.0122124553;0.0122124553;33117.0820312
;IN;1975;p79p80;34541.7592218;51004.0793047;;;50548.71875;0.0126259923;0.0126259923;34233.3710938
;IN;1975;p80p81;35243.6697372;52040.514634;;;51560.2070312;0.0128825605;0.0128825605;34918.390625
;IN;1975;p81p82;36169.2230153;53407.1790385;;;52885.3242188;0.0132208765;0.0132208765;35815.8046875
;IN;1975;p82p83;37534.4793262;55423.1053469;;;54838.1835938;0.0137199163;0.0137199163;37138.3515625
;IN;1975;p83p84;38524.6876209;56885.2388205;;;56227.8398438;0.0140818655;0.0140818655;38079.4726562
;IN;1975;p84p85;39781.3430715;58740.8059862;;;57992.9648438;0.0145412087;0.0145412087;39274.8789062
;IN;1975;p85p86;41660.0890358;61514.9469193;;;60650.3320312;0.0152279437;0.0152279437;41074.5429688
;IN;1975;p86p87;43234.3938497;63839.5525382;;;62848.671875;0.0158033967;0.0158033967;42563.3359375
;IN;1975;p87p88;45109.3893338;66608.1555429;;;65470.90625;0.0164887607;0.0164887607;44339.203125
;IN;1975;p88p89;47195.6346896;69688.6883813;;;68387.9765625;0.0172513425;0.0172513425;46314.7460938
;IN;1975;p89p90;49921.8261061;73714.1603415;;;72217.0625;0.0182478428;0.0182478428;48907.9375
;IN;1975;p90p91;52838.7212855;78021.2239192;;;76348.8984375;0.0193140507;0.0193140507;51706.1640625
;IN;1975;p91p92;55991.7336507;82676.9362034;;;80900.9140625;0.0204665661;0.0204665661;54788.9453125
;IN;1975;p92p93;59128.0319195;87307.9685894;;;85257.5078125;0.021612972;0.021612972;57739.3867188
;IN;1975;p93p94;62528.7390398;92329.424924;;;90047.71875;0.0228560269;0.0228560269;60983.4882812
;IN;1975;p94p95;66695.8893938;98482.6050724;;;95712.421875;0.0243792385;0.0243792385;64819.8203125
;IN;1975;p95p96;72071.3466173;106419.961267;;;102938.609375;0.0263441205;0.0263441205;69713.6484375
;IN;1975;p96p97;79016.25749;116674.75989;;;111657.023438;0.0288826823;0.0288826823;75618.0703125
;IN;1975;p97p98;89784.4567585;132574.994905;;;124521.132812;0.0328187644;0.0328187644;84330.09375
;IN;1975;p98p99;111695.638332;164928.866503;;;146885.59375;0.0408279225;0.0408279225;99476.1015625
;IN;1975;p1p100;27608.3023846;40766.1936167;8.51678276062;8.51678180695;4786.57226562;0.9990701079;0.9990701079;3241.63525391
;IN;1975;p2p100;27854.5965207;41129.8695247;6.47866439819;6.47866487503;6348.51025391;0.9978011847;0.9978011847;4299.43505859
;IN;1975;p3p100;28095.3478493;41485.3609685;5.47891759872;5.47891712189;7571.81738281;0.9961556792;0.9961556792;5127.90136719
;IN;1975;p4p100;28332.3212456;41835.2739483;4.80283975601;4.80283927917;8710.52929688;0.9942016006;0.9942016006;5899.07714844
;IN;1975;p5p100;28565.7887608;42180.0101727;4.2884759903;4.2884759903;9835.6640625;0.9919525385;0.9919525385;6661.05810547
;IN;1975;p6p100;28796.5353591;42520.7287135;3.95366597176;3.95366597176;10754.7597656;0.9894393086;0.9894393086;7283.50244141
;IN;1975;p7p100;29026.0302705;42859.5990237;3.75031542778;3.7503156662;11428.2646484;0.9867148399;0.9867148399;7739.62353516
;IN;1975;p8p100;29255.8261016;43198.9136694;3.57672858238;3.57672834396;12077.7734375;0.9838327169;0.9838327169;8179.49316406
;IN;1975;p9p100;29486.0438714;43538.8513465;3.4519507885;3.45195055008;12612.8261719;0.9807966352;0.9807966352;8541.84960938
;IN;1975;p10p100;29717.7249502;43880.9497335;3.36816239357;3.36816215515;13028.1582031;0.9776403904;0.9776403904;8823.12695312
;IN;1975;p11p100;29952.0436237;44226.9427714;3.32988619804;3.32988643646;13281.8173828;0.9744005799;0.9744005799;8994.91503906
;IN;1975;p12p100;30189.7717155;44577.9701283;3.28572535515;3.28572535515;13567.1621094;0.9710991383;0.9710991383;9188.16015625
;IN;1975;p13p100;30430.1346234;44932.8880333;3.20910596848;3.20910596848;14001.6835938;0.9677076936;0.9677076936;9482.43359375
;IN;1975;p14p100;30671.9519785;45289.9535631;3.10474705696;3.10474705696;14587.3242188;0.9641862512;0.9641862512;9879.04980469
;IN;1975;p15p100;30914.1950527;45647.6477062;2.98075032234;2.98075032234;15314.1464844;0.9605012536;0.9605012536;10371.2792969
;IN;1975;p16p100;31156.6363949;46005.6346103;2.89984917641;2.89984917641;15864.8369141;0.9566452503;0.9566452503;10744.2265625
;IN;1975;p17p100;31401.4815933;46367.1710287;2.85306167603;2.85306167603;16251.7236328;0.9526849389;0.9526849389;11006.2402344
;IN;1975;p18p100;31649.0512588;46732.7303731;2.81029558182;2.8102953434;16629.1171875;0.9486272931;0.9486272931;11261.8232422
;IN;1975;p19p100;31899.5771518;47102.6548587;2.77175235748;2.77175235748;16993.8183594;0.9444761872;0.9444761872;11508.8125
;IN;1975;p20p100;32153.386191;47477.4272112;2.74361896515;2.74361872673;17304.6738281;0.9402379394;0.9402379394;11719.3339844
;IN;1975;p21p100;32411.2160923;47858.1367359;2.72020244598;2.72020244598;17593.59375;0.9359302521;0.9359302521;11915.0019531
;IN;1975;p22p100;32673.0856172;48244.8111358;2.69663882256;2.69663882256;17890.7207031;0.9315492511;0.9315492511;12116.2265625
;IN;1975;p23p100;32939.1754487;48637.7172058;2.67662882805;2.67662882805;18171.2597656;0.927095592;0.927095592;12306.2167969
;IN;1975;p24p100;33209.851717;49037.3955709;2.66121935844;2.66121935844;18426.6640625;0.9225748181;0.9225748181;12479.1865234
;IN;1975;p25p100;33485.4565956;49444.3514817;2.64578270912;2.6457824707;18687.9882812;0.9179912806;0.9179912806;12656.1630859
;IN;1975;p26p100;33765.4296605;49857.7574207;2.61000561714;2.61000585556;19102.546875;0.9133244157;0.9133244157;12936.9179688
;IN;1975;p27p100;34049.1842472;50276.7471238;2.58119511604;2.58119487762;19478.0898438;0.9085537791;0.9085537791;13191.2480469
;IN;1975;p28p100;34337.2493434;50702.1016901;2.54627490044;2.54627490044;19912.265625;0.903689146;0.903689146;13485.2871094
;IN;1975;p29p100;34629.3592305;51133.4287616;2.51627755165;2.51627755165;20321.0605469;0.8987188935;0.8987188935;13762.1376953
;IN;1975;p30p100;34926.0646343;51571.5415353;2.49601888657;2.49601888657;20661.5195312;0.8936526775;0.8936526775;13992.7089844
;IN;1975;p31p100;35228.5035705;52018.1203963;2.48895573616;2.48895549774;20899.578125;0.8885141611;0.8885141611;14153.9296875
;IN;1975;p32p100;35537.1424118;52473.8539864;2.46855545044;2.46855545044;21256.90625;0.8833086491;0.8833086491;14395.9267578
;IN;1975;p33p100;35850.9469495;52937.2152015;2.44223403931;2.44223427773;21675.7324219;0.8780040145;0.8780040145;14679.5703125
;IN;1975;p34p100;36169.8900967;53408.1640455;2.41901707649;2.41901707649;22078.4570312;0.8725939393;0.8725939393;14952.3085938
;IN;1975;p35p100;36494.3695758;53887.2877918;2.39308047295;2.39308047295;22517.9589844;0.8670822382;0.8670822382;15249.9550781
;IN;1975;p36p100;36824.2678159;54374.4128365;2.36673760414;2.36673760414;22974.4160156;0.8614600897;0.8614600897;15559.0839844
;IN;1975;p37p100;37159.695319;54869.7023455;2.34193992615;2.34194016457;23429.1660156;0.8557240963;0.8557240963;15867.0566406
;IN;1975;p38p100;37500.961711;55373.6135103;2.31614232063;2.31614232063;23907.6914062;0.8498752117;0.8498752117;16191.1308594
;IN;1975;p39p100;37848.1402957;55886.2545704;2.29385352135;2.29385352135;24363.4804688;0.8439086676;0.8439086676;16499.8066406
;IN;1975;p40p100;38201.8256338;56408.5034495;2.27152729034;2.27152705193;24832.8554688;0.8378310204;0.8378310204;16817.6835938
;IN;1975;p41p100;38562.2159149;56940.6527925;2.25305175781;2.25305175781;25272.6796875;0.8316394091;0.8316394091;17115.5488281
;IN;1975;p42p100;38929.9981322;57483.7170081;2.23833012581;2.23833012581;25681.5195312;0.8253410459;0.8253410459;17392.4296875
;IN;1975;p43p100;39305.9847302;58038.8957452;2.22361516953;2.22361516953;26101.1425781;0.8189447522;0.8189447522;17676.6132812
;IN;1975;p44p100;39690.5045784;58606.6746099;2.21328401566;2.21328401566;26479.5097656;0.8124482632;0.8124482632;17932.8574219
;IN;1975;p45p100;40084.375939;59188.2618411;2.20419192314;2.20419192314;26852.5898438;0.8058586717;0.8058586717;18185.5195312
;IN;1975;p46p100;40488.1877935;59784.5271246;2.19645929337;2.19645929337;27218.5917969;0.7991773486;0.7991773486;18433.3886719
;IN;1975;p47p100;40902.5920355;60396.4330408;2.19434452057;2.19434452057;27523.6777344;0.7924060225;0.7924060225;18640.0039062
;IN;1975;p48p100;41328.993135;61026.0534187;2.1896045208;2.18960428238;27870.8125;0.7855597734;0.7855597734;18875.0957031
;IN;1975;p49p100;41767.527663;61673.5899179;2.18789410591;2.18789434433;28188.5605469;0.7786279917;0.7786279917;19090.2871094
;IN;1975;p50p100;42219.3084569;62340.6857451;2.18526244164;2.18526244164;28527.78125;0.7716177106;0.7716177106;19320.0175781
;IN;1975;p51p100;42684.8037448;63028.032282;2.18111109734;2.18111109734;28897.2128906;0.7645227909;0.7645227909;19570.2109375
;IN;1975;p52p100;43164.4528301;63736.2782005;2.17837762833;2.17837786675;29258.5976562;0.7573359013;0.7573359013;19814.953125
;IN;1975;p53p100;43659.2597609;64466.9060697;2.17086982727;2.17086982727;29696.3496094;0.7500587702;0.7500587702;20111.4140625
;IN;1975;p54p100;44169.0574623;65219.6691883;2.17424535751;2.17424535751;29996.4628906;0.7426719666;0.7426719666;20314.6621094
;IN;1975;p55p100;44696.9252955;65999.1145157;2.17423868179;2.17423868179;30355.0449219;0.7352097034;0.7352097034;20557.5058594
;IN;1975;p56p100;45243.1688129;66805.6932282;2.17051172256;2.17051196098;30778.7734375;0.7276570797;0.7276570797;20844.4707031
;IN;1975;p57p100;45807.6631349;67639.2209296;2.16482329369;2.16482329369;31244.6835938;0.719991982;0.719991982;21160.0
;IN;1975;p58p100;46391.1683425;68500.8199492;2.15776395798;2.15776395798;31746.2050781;0.7122060657;0.7122060657;21499.6484375
;IN;1975;p59p100;46994.6181005;69391.868929;2.14745306969;2.14745306969;32313.5683594;0.7042924762;0.7042924762;21883.8867188
;IN;1975;p60p100;47618.3708764;70312.897179;2.13581132889;2.13581109047;32920.9335938;0.6962345839;0.6962345839;22295.2148438
;IN;1975;p61p100;48263.3027341;71265.1982881;2.12326097488;2.12326097488;33564.03125;0.6880226135;0.6880226135;22730.7441406
;IN;1975;p62p100;48930.429158;72250.2717121;2.10993742943;2.10993742943;34242.8515625;0.6796474457;0.6796474457;23190.4648438
;IN;1975;p63p100;49620.8974499;73269.8115478;2.09900903702;2.09900903702;34906.859375;0.6711002588;0.6711002588;23640.1542969
;IN;1975;p64p100;50336.9381283;74327.1113602;2.08777737617;2.08777737617;35601.0703125;0.6623848081;0.6623848081;24110.2988281
;IN;1975;p65p100;51080.1747161;75424.5684302;2.07296514511;2.07296514511;36384.8710938;0.6534938216;0.6534938216;24641.1152344
;IN;1975;p66p100;51851.2371246;76563.1128795;2.06097483635;2.06097483635;37148.9804688;0.6444053054;0.6444053054;25158.5976562
;IN;1975;p67p100;52653.0996949;77747.1365959;2.04736590385;2.04736614227;37974.2226562;0.6351246238;0.6351246238;25717.4824219
;IN;1975;p68p100;53487.3760018;78979.0221708;2.03388166428;2.03388190269;38831.6679688;0.6256368756;0.6256368756;26298.1738281
;IN;1975;p69p100;54356.5348206;80262.4149778;2.02189564705;2.02189564705;39696.6171875;0.6159344912;0.6159344912;26883.9453125
;IN;1975;p70p100;55263.9339512;81602.2731165;2.0095975399;2.0095975399;40606.2773438;0.6060160398;0.6060160398;27500.0019531
;IN;1975;p71p100;56212.5059184;83002.9267292;2.00148367882;2.00148367882;41470.6992188;0.5958706737;0.5958706737;28085.4179688
;IN;1975;p72p100;57207.8093718;84472.5836724;1.98849749565;1.98849749565;42480.609375;0.5855101347;0.5855101347;28769.3652344
;IN;1975;p73p100;58251.3768099;86013.5068208;1.97127211094;1.97127223015;43633.5;0.5748983026;0.5748983026;29550.1445312
;IN;1975;p74p100;59345.0204022;87628.3720091;1.96623754501;1.96623754501;44566.5234375;0.563999474;0.563999474;30182.0195312
;IN;1975;p75p100;60500.7565779;89334.9225986;1.95919668674;1.95919668674;45597.7304688;0.5528685451;0.5528685451;30880.3886719
;IN;1975;p76p100;61723.5408443;91140.4758506;1.95135211945;1.95135211945;46706.3203125;0.5414808989;0.5414808989;31631.1640625
;IN;1975;p77p100;63019.7931649;93054.511431;1.94497466087;1.94497466087;47843.5585938;0.5298169851;0.5298169851;32401.34375
;IN;1975;p78p100;64398.5831727;95090.4214856;1.94457304478;1.94457292557;48900.4140625;0.5178691745;0.5178691745;33117.0820312
;IN;1975;p79p100;65874.210051;97269.3200716;1.92426884174;1.92426872253;50548.71875;0.5056567192;0.5056567192;34233.3710938
;IN;1975;p80p100;67440.8325925;99582.58211;1.93138432503;1.93138444424;51560.2070312;0.4930307269;0.4930307269;34918.390625
;IN;1975;p81p100;69135.4201112;102084.796188;1.9303047657;1.9303047657;52885.3242188;0.4801481664;0.4801481664;35815.8046875
;IN;1975;p82p100;70966.8755054;104789.108252;1.91087841988;1.91087853909;54838.1835938;0.46692729;0.46692729;37138.3515625
;IN;1975;p83p100;72933.4870454;107692.990775;1.91529667377;1.91529655457;56227.8398438;0.4532073736;0.4532073736;38079.4726562
;IN;1975;p84p100;75084.0370094;110868.475272;1.91175734997;1.91175734997;57992.9648438;0.4391255081;0.4391255081;39274.8789062
;IN;1975;p85p100;77437.5499386;114343.653225;1.8852930069;1.88529312611;60650.3320312;0.4245842993;0.4245842993;41074.5429688
;IN;1975;p86p100;79993.0828602;118117.132247;1.87938940525;1.87938952446;62848.671875;0.4093563557;0.4093563557;42563.3359375
;IN;1975;p87p100;82820.6743226;122292.330686;1.8678882122;1.8678882122;65470.90625;0.393552959;0.393552959;44339.203125
;IN;1975;p88p100;85963.281405;126932.678614;1.85606718063;1.85606718063;68387.9765625;0.3770641983;0.3770641983;46314.7460938
;IN;1975;p89p100;89487.6129245;132136.677727;1.82971549034;1.82971549034;72217.0625;0.3598128557;0.3598128557;48907.9375
;IN;1975;p91p100;97955.9105309;144640.896748;1.78787732124;1.78787720203;80900.9140625;0.3222509623;0.3222509623;54788.9453125
;IN;1975;p92p100;103201.432641;152386.391816;1.78736627102;1.78736627102;85257.5078125;0.3017843962;0.3017843962;57739.3867188
;IN;1975;p93p100;109497.632744;161683.30942;1.79552912712;1.79552924633;90047.71875;0.2801714242;0.2801714242;60983.4882812
;IN;1975;p94p100;117325.781695;173242.290169;1.81002938747;1.81002926826;95712.421875;0.2573153973;0.2573153973;64819.8203125
;IN;1975;p95p100;127451.760155;188194.227188;1.82821822166;1.82821810246;102938.609375;0.2329361588;0.2329361588;69713.6484375
;IN;1975;p96p100;141296.863539;208637.793669;1.86855947971;1.86855947971;111657.023438;0.2065920383;0.2065920383;75618.0703125
;IN;1975;p97p100;162057.065556;239292.138262;1.92169904709;1.92169904709;124521.132812;0.177709356;0.177709356;84330.09375
;IN;1975;p98p100;198193.369954;292650.70994;1.99237167835;1.99237179756;146885.59375;0.1448905915;0.1448905915;99476.1015625
;IN;1975;p0p90;20014.7109668;29553.5586031;;;-7.65314981527e-12;0.6584349871;0.6584349871;-5.18298294908e-12
;IN;1975;p0p99;24758.3313283;36557.949652;;;-7.65314981527e-12;0.895937331;0.895937331;-5.18298294908e-12
;IN;1975;p99.1p100;300428.408491;443610.132121;2.07732987404;2.07732987404;213548.234375;0.0988335907;0.0988335907;144622.390625
;IN;1975;p99.1p99.2;146486.009546;216300.044243;;;213548.234375;0.005354479;0.005354479;144622.390625
;IN;1975;p99.2p100;319671.208359;472023.893106;2.15290307999;2.15290284157;219249.96875;0.0934791118;0.0934791118;148483.796875
;IN;1975;p99.2p99.3;150867.956421;222770.391179;;;219249.96875;0.0055146515;0.0055146515;148483.796875
;IN;1975;p99.3p100;343785.958636;507631.536238;2.24067378044;2.24067401886;226553.0625;0.0879644603;0.0879644603;153429.71875
;IN;1975;p99.3p99.4;156087.034928;230476.83984;;;226553.0625;0.0057054237;0.0057054237;153429.71875
;IN;1975;p99.4p100;375069.112587;553823.985638;2.3592607975;2.3592607975;234744.703125;0.0822590366;0.0822590366;158977.390625
;IN;1975;p99.4p99.5;175930.5401;259777.597364;;;234744.703125;0.00643076;0.00643076;158977.390625
;IN;1975;p99.5p100;414896.827084;612633.263292;2.15835022926;2.15835022926;283843.3125;0.0758282766;0.0758282766;192228.6875
;IN;1975;p99.5p99.6;211866.458789;312840.281143;;;283843.3125;0.0077443197;0.0077443197;192228.6875
;IN;1975;p99.6p100;465654.419158;687581.50883;2.01991248131;2.01991224289;340401.65625;0.0680839568;0.0680839568;230531.984375
;IN;1975;p99.6p99.7;249616.468426;368581.636785;;;340401.65625;0.0091241896;0.0091241896;230531.984375
;IN;1975;p99.7p100;537667.069402;793914.799511;1.97297906876;1.97297906876;402393.9375;0.0589597672;0.0589597672;272515.34375
;IN;1975;p99.7p99.8;304460.616297;449564.057206;;;402393.9375;0.0111288987;0.0111288987;272515.34375
;IN;1975;p99.8p100;654270.295954;966090.170664;1.91060078144;1.91060066223;505647.34375;0.0478308685;0.0478308685;342442.1875
;IN;1975;p99.8p99.9;406759.752713;600618.125793;;;505647.34375;0.0148682222;0.0148682222;342442.1875
;IN;1975;p99.91p100;946076.625725;1396969.01183;1.83120596409;1.83120584488;762868.375;0.0311236046;0.0311236046;516641.3125
;IN;1975;p99.91p99.92;531702.413104;785107.43678;;;762868.375;0.0019435231;0.0019435231;516641.3125
;IN;1975;p99.92p100;997873.402303;1473451.70871;1.82248055935;1.82248055935;808486.9375;0.0291800816;0.0291800816;547535.8125
;IN;1975;p99.92p99.93;564980.79047;834246.016765;;;808486.9375;0.002065165;0.002065165;547535.8125
;IN;1975;p99.93p100;1059715.20399;1564766.80756;1.81672811508;1.81672811508;861310.375;0.0271149166;0.0271149166;583309.75
;IN;1975;p99.93p99.94;603822.210218;891598.939654;;;861310.375;0.0022071414;0.0022071414;583309.75
;IN;1975;p99.94p100;1135697.36962;1676961.45221;1.8147367239;1.8147367239;924079.75;0.0249077752;0.0249077752;625819.375
;IN;1975;p99.94p99.95;652152.956264;962963.724186;;;924079.75;0.0023838039;0.0023838039;625819.375
;IN;1975;p99.95p100;1232406.25229;1819760.99781;1.80870461464;1.80870473385;1006112.8125;0.0225239713;0.0225239713;681375.0625
;IN;1975;p99.95p99.96;717331.817199;1059206.29744;;;1006112.8125;0.0026220512;0.0026220512;681375.0625
;IN;1975;p99.96p100;1361174.86107;2009899.67291;1.79835510254;1.79835510254;1117632.25;0.0199019201;0.0199019201;756899.9375
;IN;1975;p99.96p99.97;806332.851648;1190624.49736;;;1117632.25;0.0029473752;0.0029473752;756899.9375
;IN;1975;p99.97p100;1546122.19754;2282991.39809;1.79143226147;1.79143226147;1274394.5;0.0169545449;0.0169545449;863064.8125
;IN;1975;p99.97p99.98;943480.165592;1393135.10002;;;1274394.5;0.0034486875;0.0034486875;863064.8125
;IN;1975;p99.98p100;1847443.21352;2727919.54713;1.77314841747;1.77314829826;1538461.0;0.0135058574;0.0135058574;1041899.9375
;IN;1975;p99.98p99.99;1189195.4722;1755956.31316;;;1538461.0;0.0043468466;0.0043468466;1041899.9375
;IN;1975;p99.991p100;2625215.23017;3876371.34901;1.78921365738;1.78921377659;2166522.25;0.0086363154;0.0086363154;1467245.25
;IN;1975;p99.991p99.992;1509280.35445;2228591.03374;;;2166522.25;0.0005516848;0.0005516848;1467245.25
;IN;1975;p99.992p100;2764707.08964;4082343.88842;1.77917766571;1.7791775465;2294511.75;0.0080846306;0.0080846306;1553924.125
;IN;1975;p99.992p99.993;1603782.51778;2368132.15561;;;2294511.75;0.000586228;0.000586228;1553924.125
;IN;1975;p99.993p100;2930553.45705;4327231.27883;1.76971626282;1.76971614361;2445155.5;0.0074984026;0.0074984026;1655945.375
;IN;1975;p99.993p99.994;1711127.27299;2526636.54367;;;2445155.5;0.0006254655;0.0006254655;1655945.375
;IN;1975;p99.994p100;3133791.15439;4627330.40135;1.77282512188;1.77282524109;2610144.75;0.0068729371;0.0068729371;1767682.0
;IN;1975;p99.994p99.995;1829489.06368;2701408.59625;;;2610144.75;0.0006687301;0.0006687301;1767682.0
;IN;1975;p99.995p100;3394651.57253;5012514.76237;1.79083311558;1.79083323479;2798984.75;0.006204207;0.006204207;1895571.125
;IN;1975;p99.995p99.996;1974843.10086;2916037.17935;;;2798984.75;0.0007218611;0.0007218611;1895571.125
;IN;1975;p99.996p100;3749603.69045;5536634.15813;1.81709384918;1.81709384918;3046972.0;0.0054823458;0.0054823458;2063516.75
;IN;1975;p99.996p99.997;2177198.32158;3214833.2441;;;3046972.0;0.0007958277;0.0007958277;2063516.75
;IN;1975;p99.997p100;4273738.81341;6310567.79614;1.8536529541;1.8536529541;3404395.5;0.0046865181;0.0046865181;2305576.5
;IN;1975;p99.997p99.998;2455567.01046;3625870.17457;;;3404395.5;0.0008975794;0.0008975794;2305576.5
;IN;1975;p99.998p100;5182824.71488;7652916.60692;1.98273515701;1.98273515701;3859777.5;0.0037889387;0.0037889387;2613977.25
;IN;1975;p99.998p99.999;2859093.32441;4221713.83112;;;3859777.5;0.0010450797;0.0010450797;2613977.25
;IN;1975;p99.99p99.991;1429972.47674;2111485.66982;;;2059651.625;0.0005226955;0.0005226955;1394868.625
;IN;1975;p99.9p99.91;503118.760428;742901.048897;;;724078.0625;0.0018390417;0.0018390417;490371.1875
;IN;1975;p99p99.1;143055.33935;211234.344677;;;209058.78125;0.0052290782;0.0052290782;141581.96875
;IN;1974;p0p100;27054.6679776;40000.7051032;-5.71435627682e+15;-5.71435627682e+15;-7.0000368349e-12;1.0;1.0;-4.73450835828e-12
;IN;1974;p0p50;12428.8257278;18376.1927194;;;-7.0000368349e-12;0.22969836;0.22969836;-4.73450835828e-12
;IN;1974;p50p90;29075.9475279;42989.1951963;;;28208.1191406;0.4298843741;0.4298843741;19078.6972656
;IN;1974;p90p99;71864.5480334;106252.739662;;;75492.03125;0.2390779257;0.2390779257;51059.3945312
;IN;1974;p99p100;274170.139616;405364.387098;1.94052934647;1.94052922726;208893.734375;0.1013393104;0.1013393104;141286.265625
;IN;1974;p99.9p100;844312.532671;1248327.8916;1.79521977901;1.79521989822;695362.125;0.0312076472;0.0312076472;470311.5
;IN;1974;p99.99p100;2273456.52522;3361337.27849;1.76475846767;1.76475846767;1904701.0;0.0084031951;0.0084031951;1288253.625
;IN;1974;p99.999p100;6554902.1128;9691514.4777;1.97347414494;1.97347390652;4910890.5;0.0024228359;0.0024228359;3321504.0
;IN;1974;p0p10;6069.94308717;8974.49577367;;;-7.0000368349e-12;0.0224358439;0.0224358439;-4.73450835828e-12
;IN;1974;p10p20;10222.701332;15114.4069363;;;12891.0175781;0.0377853513;0.0377853513;8718.90136719
;IN;1974;p20p30;12545.7896613;18549.1255315;;;17172.2011719;0.0463719964;0.0463719964;11614.5
;IN;1974;p30p40;15260.7036205;22563.1638021;;;20504.9394531;0.0564069152;0.0564069152;13868.6142578
;IN;1974;p40p50;18044.9909379;26679.7715534;;;24972.3769531;0.0666982532;0.0666982532;16890.1855469
;IN;1974;p50p60;20310.9615464;30030.0407993;;;28208.1191406;0.0750737786;0.0750737786;19078.6972656
;IN;1974;p60p70;24435.338315;36127.9895523;;;32515.2539062;0.0903183818;0.0903183818;21991.8476562
;IN;1974;p70p80;30673.5625924;45351.29142;;;40348.625;0.11337623;0.11337623;27289.984375
;IN;1974;p80p90;40883.9276578;60447.4590135;;;51116.2382812;0.1511159837;0.1511159837;34572.7109375
;IN;1974;p90p100;92098.7610255;136169.30665;1.80375742912;1.80375730991;75492.03125;0.3404172659;0.3404172659;51059.3945312
;IN;1974;p0p1;2572.71631309;3803.79706154;;;-7.0000368349e-12;0.0009509325;0.0009509325;-4.73450835828e-12
;IN;1974;p1p2;3466.73281301;5125.61296408;;;4728.82177734;0.0012813807;0.0012813807;3198.36108398
;IN;1974;p2p3;4584.89847147;6778.83653339;;;6474.5859375;0.0016946793;0.0016946793;4379.1171875
;IN;1974;p3p4;5382.96623087;7958.79088074;;;7672.31982422;0.0019896626;0.0019896626;5189.20996094
;IN;1974;p4p5;6146.20217859;9087.2459072;;;8746.26757812;0.0022717714;0.0022717714;5915.58007812
;IN;1974;p5p6;6812.36057707;10072.170419;;;9799.46191406;0.0025179982;0.0025179982;6627.91259766
;IN;1974;p6p7;7330.64503427;10838.4612398;;;10625.6484375;0.0027095675;0.0027095675;7186.70800781
;IN;1974;p7p8;7730.08205994;11429.0344705;;;11227.1777344;0.0028572083;0.0028572083;7593.55517578
;IN;1974;p8p9;8156.44923631;12059.4243057;;;11857.5302734;0.0030148029;0.0030148029;8019.89746094
;IN;1974;p9p10;8516.37795706;12591.5839547;;;12427.3925781;0.0031478405;0.0031478405;8405.32617188
;IN;1974;p10p11;8768.10229984;12963.7619172;;;12891.0175781;0.0032408834;0.0032408834;8718.90136719
;IN;1974;p11p12;8947.74414344;13229.3648962;;;13166.9628906;0.0033072829;0.0033072829;8905.53808594
;IN;1974;p12p13;9215.43306658;13625.146714;;;13470.6220703;0.0034062266;0.0034062266;9110.91894531
;IN;1974;p13p14;9618.25651838;14220.7268231;;;13953.6933594;0.003555119;0.003555119;9437.64648438
;IN;1974;p14p15;10138.9598514;14990.5939857;;;14639.4746094;0.0037475824;0.0037475824;9901.47851562
;IN;1974;p15p16;10655.1479496;15753.7853103;;;15469.1103516;0.0039383769;0.0039383769;10462.6064453
;IN;1974;p16p17;10908.807393;16128.8243462;;;16029.6669922;0.004032135;0.004032135;10841.7421875
;IN;1974;p17p18;11125.6999241;16449.5029878;;;16347.4462891;0.0041123033;0.0041123033;11056.6728516
;IN;1974;p18p19;11330.4980761;16752.2999207;;;16650.1367188;0.0041880012;0.0041880012;11261.3994141
;IN;1974;p19p20;11518.3640975;17030.0624616;;;16940.4628906;0.0042574406;0.0042574406;11457.7626953
;IN;1974;p20p21;11652.6923342;17228.6686388;;;17172.2011719;0.0043070912;0.0043070912;11614.5
;IN;1974;p21p22;11806.0490607;17455.4087044;;;17380.9042969;0.0043637753;0.0043637753;11755.6572266
;IN;1974;p22p23;11970.5326159;17698.5999418;;;17621.1601562;0.004424572;0.004424572;11918.15625
;IN;1974;p23p24;12127.4370268;17930.5853086;;;17857.15625;0.0044825673;0.0044825673;12077.7724609
;IN;1974;p24p25;12278.5361359;18153.9874552;;;18077.1347656;0.0045384169;0.0045384169;12226.5556641
;IN;1974;p25p26;12516.0697405;18505.1842128;;;18324.3632812;0.0046262145;0.0046262145;12393.7714844
