Variable Code;country;year;perc;afiinc992j;aptinc992j;aptkin992j;aptlin992j;bfiinc992j;bptinc992j;bptkin992j;bptlin992j;tptlin992j;sfiinc992j;sptinc992j;sptkin992j;sptlin992j;tfiinc992j;tptinc992j;tptkin992j
;TH;2016;p13p14;42375.3092293;40463.8430017;;;;;;;;0.002250199;0.0018070088;;;41702.7539062;39669.0742188;
;TH;2016;p14p15;43722.3964553;42090.8729656;;;;;;;;0.0023217315;0.0018796676;;;43048.6171875;41268.09375;
;TH;2016;p15p16;45068.1902179;43770.6057339;;;;;;;;0.0023931954;0.0019546801;;;44395.9335938;42922.5234375;
;TH;2016;p16p17;46408.1480494;45493.9094905;;;;;;;;0.0024643494;0.0020316383;;;45739.4453125;44626.0546875;
;TH;2016;p17p18;47739.3585613;47245.388145;;;;;;;;0.0025350389;0.0021098547;;;47075.3632812;46366.5820312;
;TH;2016;p18p19;49060.8352138;49002.4141886;;;;;;;;0.0026052115;0.0021883189;;;48401.6914062;48125.2617188;
;TH;2016;p19p20;50373.8846239;50734.0077468;;;;;;;;0.0026749365;0.0022656473;;;49718.5273438;49875.4921875;
;TH;2016;p20p21;51682.5055665;52403.2400998;;;;;;;;0.0027444265;0.0023401908;;;51028.4492188;51581.7109375;
;TH;2016;p21p22;52993.1828965;54003.5106886;;;;;;;;0.0028140256;0.0024116547;;;52336.9101562;53212.7421875;
;TH;2016;p22p23;54312.5023152;55562.3948343;;;;;;;;0.0028840837;0.0024812703;;;53650.921875;54787.4453125;
;TH;2016;p23p24;55645.5192911;57106.9881963;;;;;;;;0.0029548691;0.0025502478;;;54976.3984375;56335.0507812;
;TH;2016;p24p25;56995.3293669;58659.3134927;;;;;;;;0.0030265462;0.0026195706;;;56317.4804688;57880.3164062;
;TH;2016;p25p26;58362.6603897;60235.1422012;;;;;;;;0.0030991537;0.002689943;;;57676.1484375;59442.359375;
;TH;2016;p26p27;59745.398972;61842.5451476;;;;;;;;0.0031725795;0.0027617253;;;59051.796875;61033.3476562;
;TH;2016;p27p28;61138.0511833;63480.2553999;;;;;;;;0.0032465316;0.0028348612;;;60440.71875;62656.9804688;
;TH;2016;p28p29;62531.1462413;65135.8069735;;;;;;;;0.0033205072;0.0029087937;;;61835.5390625;64306.7265625;
