Variable Code;country;year;perc;afiinc992j;aptinc992j;aptkin992j;aptlin992j;bfiinc992j;bptinc992j;bptkin992j;bptlin992j;tptlin992j;sfiinc992j;sptinc992j;sptkin992j;sptlin992j;tfiinc992j;tptinc992j;tptkin992j
;TH;2016;p29p30;63910.4955114;66783.3607134;;;;;;;;0.003393753;0.0029823692;;;63224.5546875;65963.8203125;
;TH;2016;p30p31;65258.6175079;68384.720968;;;;;;;;0.0034653405;0.0030538817;;;64590.9726562;67594.921875;
;TH;2016;p31p32;66576.4768477;69924.9035299;;;;;;;;0.003535321;0.0031226622;;;65920.90625;69163.7890625;
;TH;2016;p32p33;67885.2731751;71421.7027971;;;;;;;;0.0036048202;0.0031895053;;;67230.59375;70678.78125;
;TH;2016;p33p34;69205.0179021;72895.9631888;;;;;;;;0.0036749009;0.0032553419;;;68541.8515625;72160.8671875;
;TH;2016;p34p35;70551.434281;74368.0494627;;;;;;;;0.0037463978;0.0033210814;;;69872.71875;73630.7109375;
;TH;2016;p35p36;71934.8174027;75857.4400456;;;;;;;;0.0038198577;0.0033875937;;;71236.421875;75108.296875;
;TH;2016;p36p37;73358.666195;77382.2682267;;;;;;;;0.0038954664;0.0034556885;;;72640.09375;76612.5234375;
;TH;2016;p37p38;74818.0918053;78958.7747178;;;;;;;;0.0039729644;0.0035260911;;;74083.3359375;78160.671875;
;TH;2016;p38p39;76297.9541357;80600.6038023;;;;;;;;0.0040515475;0.0035994109;;;75556.4609375;79767.8203125;
;TH;2016;p39p40;77770.6607641;82318.0160647;;;;;;;;0.0041297507;0.003676106;;;77038.5;81446.0625;
;TH;2016;p40p41;79198.3110232;84116.2147894;;;;;;;;0.0042055612;0.0037564088;;;78494.8203125;83203.640625;
;TH;2016;p41p42;80579.4141418;85988.3960825;;;;;;;;0.0042789001;0.0038400155;;;79893.359375;85041.234375;
;TH;2016;p42p43;81955.9660234;87919.1847084;;;;;;;;0.0043519973;0.0039262394;;;81264.796875;86945.296875;
;TH;2016;p43p44;83369.5504171;89894.0239842;;;;;;;;0.004427061;0.0040144306;;;82653.421875;88900.375;
;TH;2016;p44p45;84854.9636782;91900.666901;;;;;;;;0.0045059389;0.004104042;;;84097.796875;90892.921875;
;TH;2016;p45p46;86437.8207649;93930.0416007;;;;;;;;0.0045899912;0.0041946685;;;85628.5625;92912.1328125;
;TH;2016;p46p47;88131.6964648;95977.2680492;;;;;;;;0.0046799388;0.0042860922;;;87265.84375;94950.8359375;
;TH;2016;p47p48;89934.5475445;98042.9406095;;;;;;;;0.0047756732;0.0043783397;;;89016.0390625;97006.65625;
;TH;2016;p48p49;91824.5385894;100134.692156;;;;;;;;0.0048760348;0.0044717519;;;90868.0;99083.4296875;
;TH;2016;p49p50;93754.7892278;102268.987589;;;;;;;;0.0049785343;0.0045670639;;;92788.3046875;101192.859375;
;TH;2016;p50p51;95653.9090544;104471.269822;;;;;;;;0.0050793807;0.004665412;;;94715.6171875;103356.59375;
;TH;2016;p51p52;97491.3021813;106754.166465;;;;;;;;0.0051769493;0.0047673602;;;96580.9296875;105599.71875;
;TH;2016;p52p53;99295.7931093;109110.420031;;;;;;;;0.0052727708;0.0048725842;;;98396.2265625;107920.84375;
;TH;2016;p53p54;101099.731575;111530.645839;;;;;;;;0.0053685629;0.0049806652;;;100195.328125;110310.648438;
;TH;2016;p54p55;102931.451002;114005.553055;;;;;;;;0.0054658302;0.005091188;;;102008.867188;112759.75;
;TH;2016;p55p56;104813.216497;116526.184522;;;;;;;;0.0055657551;0.0052037528;;;103862.515625;115258.960938;
;TH;2016;p56p57;106758.646695;119084.354714;;;;;;;;0.0056690606;0.0053179939;;;105774.71875;117799.640625;
;TH;2016;p57p58;108769.407751;121673.150247;;;;;;;;0.0057758354;0.0054336027;;;107753.726562;120374.140625;
;TH;2016;p58p59;110831.047953;124287.618097;;;;;;;;0.0058853119;0.005550358;;;109793.929688;122976.390625;
;TH;2016;p59p60;112907.648484;126925.620641;;;;;;;;0.0059955828;0.0056681642;;;111871.132812;125602.695312;
;TH;2016;p60p61;114942.068957;129589.86901;;;;;;;;0.0061036139;0.0057871426;;;113936.585938;128252.679688;
;TH;2016;p61p62;116923.382896;132297.328621;;;;;;;;0.0062088249;0.0059080506;;;115937.648438;130934.070312;
;TH;2016;p62p63;118904.907297;135077.331816;;;;;;;;0.0063140471;0.0060321982;;;117909.171875;133672.65625;
;TH;2016;p63p64;120944.869932;137961.046164;;;;;;;;0.0064223725;0.0061609773;;;119910.445312;136499.28125;
;TH;2016;p64p65;123097.341951;140979.753933;;;;;;;;0.0065366724;0.0062957848;;;121998.179688;139445.328125;
;TH;2016;p65p66;125408.212802;144163.559097;;;;;;;;0.0066593834;0.0064379652;;;124223.125;142541.734375;
;TH;2016;p66p67;127909.744529;147539.781502;;;;;;;;0.0067922189;0.0065887384;;;126625.429688;145817.53125;
;TH;2016;p67p68;130612.968839;151130.485579;;;;;;;;0.0069357646;0.0067490898;;;129228.195312;149297.90625;
;TH;2016;p68p69;133497.365705;154949.153983;;;;;;;;0.0070889308;0.0069196215;;;132028.6875;153001.28125;
;TH;2016;p69p70;136496.753651;158996.005693;;;;;;;;0.0072482033;0.0071003432;;;134986.28125;156935.390625;
;TH;2016;p70p71;139492.081437;163254.648797;;;;;;;;0.0074072601;0.007290523;;;138006.03125;161091.875;
;TH;2016;p71p72;142423.770829;167719.984287;;;;;;;;0.0075629377;0.0074899332;;;140965.65625;165451.375;
;TH;2016;p72p73;145340.903278;172415.140187;;;;;;;;0.0077178422;0.0076996065;;;143879.25;170026.765625;
;TH;2016;p73p74;148314.676266;177373.619808;;;;;;;;0.0078757545;0.0079210391;;;146811.765625;174847.21875;
;TH;2016;p74p75;151429.879601;182639.57286;;;;;;;;0.0080411769;0.0081562027;;;149840.90625;179951.015625;
;TH;2016;p75p76;154786.570343;188271.716165;;;;;;;;0.0082194228;0.0084077194;;;153058.8125;185388.84375;
;TH;2016;p76p77;158501.660036;194348.589074;;;;;;;;0.0084167002;0.0086790966;;;156573.75;191228.28125;
;TH;2016;p77p78;162709.967019;200975.925661;;;;;;;;0.0086401682;0.008975056;;;160511.46875;197560.03125;
;TH;2016;p78p79;167564.321654;208297.16556;;;;;;;;0.0088979425;0.0093020033;;;165015.875;204506.625;
;TH;2016;p79p80;173233.689711;216508.219201;;;;;;;;0.0091989953;0.0096686874;;;170248.421875;212234.8125;
;TH;2016;p80p81;179907.504372;225876.654266;;;;;;;;0.0095533859;0.010087057;;;176384.703125;220973.140625;
;TH;2016;p81p82;187896.337138;236741.341159;;;;;;;;0.0099776061;0.0105722453;;;183646.65625;231028.640625;
;TH;2016;p82p83;197676.656045;249500.273772;;;;;;;;0.0104969572;0.0111420257;;;192443.09375;242768.59375;
;TH;2016;p83p84;209821.987108;264619.599639;;;;;;;;0.0111418944;0.011817215;;;203302.953125;256624.203125;
;TH;2016;p84p85;224988.357377;282632.389494;;;;;;;;0.0119472537;0.0126216188;;;216843.546875;273096.34375;
;TH;2016;p85p86;243883.637666;304121.202623;;;;;;;;0.0129506243;0.0135812527;;;233754.921875;292747.625;
;TH;2016;p86p87;267187.093518;329669.349088;;;;;;;;0.0141880764;0.0147221657;;;254750.0625;316172.90625;
;TH;2016;p87p88;295371.457274;359750.192196;;;;;;;;0.0156847127;0.016065497;;;280446.375;343926.46875;
;TH;2016;p88p89;328334.549715;394493.115418;;;;;;;;0.0174351074;0.0176170245;;;311113.34375;376363.59375;
;TH;2016;p89p90;364655.209822;433202.255085;;;;;;;;0.0193637945;0.0193456728;;;346159.0;413311.625;
;TH;2016;p90p91;400687.887997;473776.902493;;;;;;;;0.0212771893;0.0211576298;;;383094.53125;453394.84375;
;TH;2016;p91p92;435304.29839;516017.435052;;;;;;;;0.0231153779;0.0230439808;;;417934.15625;494356.15625;
;TH;2016;p92p93;473518.378316;564207.77194;;;;;;;;0.0251446087;0.0251960345;;;453229.65625;538632.625;
;TH;2016;p93p94;523196.734836;625036.81325;;;;;;;;0.0277826115;0.0279124994;;;495697.5625;591863.875;
;TH;2016;p94p95;592118.493043;705845.465003;;;;;;;;0.0314424708;0.0315212011;;;554066.8125;661634.5625;
;TH;2016;p95p96;677202.597034;807854.861888;;;;;;;;0.0359605774;0.0360766724;;;633120.375;753691.875;
;TH;2016;p96p97;781054.143294;943060.586567;;;;;;;;0.0414752662;0.0421146043;;;723568.5;866762.3125;
;TH;2016;p97p98;945940.250518;1154270.79882;;;;;;;;0.0502309911;0.0515466966;;;849458.625;1032208.3125;
;TH;2016;p98p99;1277955.63726;1569493.88206;;;;;;;;0.067861557;0.0700894669;;;1065499.875;1305514.0;
;TH;2016;p1p100;190099.633899;226079.8599;;;11.6645898819;15.2100877762;;;;0.9993658777;0.9995170329;;;16297.1552734;14863.8105469;
;TH;2016;p2p100;191847.472084;228211.047888;;;9.1421737671;11.8442592621;;;;0.9983669564;0.9987478795;;;20984.8847656;19267.6503906;
;TH;2016;p3p100;193590.964168;230348.136851;;;7.9570608139;10.2714443207;;;;0.9971600228;0.9978139413;;;24329.4570312;22426.0703125;
;TH;2016;p4p100;195339.660107;232500.311696;;;7.2291808128;9.3088541031;;;;0.9957944525;0.9967538043;;;27020.9960938;24976.2558594;
;TH;2016;p5p100;197099.092283;234673.055834;;;6.7241473198;8.6428117752;;;;0.9942973255;0.9955887106;;;29312.1308594;27152.3964844;
;TH;2016;p6p100;198873.132534;236870.326168;;;6.3481755257;8.148147583;;;;0.9926862581;0.9943325147;;;31327.6054688;29070.4511719;
;TH;2016;p7p100;200664.797572;239095.299184;;;6.0551719666;7.7634716034;;;;0.9909738209;0.9929951232;;;33139.40625;30797.4726562;
;TH;2016;p8p100;202476.609921;241350.70651;;;5.8194069862;7.4545712471;;;;0.9891695296;0.9915840474;;;34793.3398438;32376.203125;
;TH;2016;p9p100;204310.787048;243639.011491;;;5.6252036095;7.2006320953;;;;0.9872808902;0.9901052208;;;36320.6015625;33835.78125;
;TH;2016;p10p100;206169.35152;245962.512593;;;5.4623804092;6.9881491661;;;;0.9853140057;0.9885634737;;;37743.5;35197.0898438;
;TH;2016;p11p100;208054.506366;248322.606965;;;5.3289489746;6.777677536;;;;0.983275403;0.9869596439;;;39042.3164062;36638.3046875;
;TH;2016;p12p100;209967.603583;250719.701552;;;5.2017469406;6.5759458542;;;;0.9811671637;0.9852904281;;;40364.8242188;38126.7890625;
;TH;2016;p13p100;211909.382595;253154.488169;;;5.0814242363;6.3816585541;;;;0.9789882527;0.9835535572;;;41702.7539062;39669.0742188;
;TH;2016;p14p100;213880.709011;255627.635217;;;4.9683527946;6.1943163872;;;;0.9767380536;0.9817465485;;;43048.6171875;41268.09375;
;TH;2016;p15p100;215882.571532;258139.832433;;;4.8626656532;6.0140881538;;;;0.9744163222;0.9798668809;;;44395.9335938;42922.5234375;
;TH;2016;p16p100;217916.07609;260691.847039;;;4.7642922401;5.8416962624;;;;0.9720231268;0.9779122008;;;45739.4453125;44626.0546875;
;TH;2016;p17p100;219982.436651;263284.593283;;;4.6729846001;5.6783266068;;;;0.9695587774;0.9758805626;;;47075.3632812;46366.5820312;
;TH;2016;p18p100;222082.961989;265919.217712;;;4.5883307457;5.5255641937;;;;0.9670237385;0.9737707078;;;48401.6914062;48125.2617188;
;TH;2016;p19p100;224219.037633;268597.202911;;;4.509768486;5.3853545189;;;;0.9644185271;0.9715823888;;;49718.5273438;49875.4921875;
;TH;2016;p20p100;226392.102052;271320.492828;;;4.4365859032;5.2600135803;;;;0.9617435905;0.9693167414;;;51028.4492188;51581.7109375;
;TH;2016;p21p100;228603.615953;274091.597308;;;4.3679232597;5.1508641243;;;;0.9589991642;0.9669765507;;;52336.9101562;53212.7421875;
;TH;2016;p22p100;230855.03177;276913.239461;;;4.3029088974;5.0543193817;;;;0.9561851386;0.964564896;;;53650.921875;54787.4453125;
;TH;2016;p23p100;233147.79189;279787.925722;;;4.2408704758;4.9664983749;;;;0.9533010549;0.9620836256;;;54976.3984375;56335.0507812;
;TH;2016;p24p100;235483.348091;282717.938073;;;4.1813545227;4.8845262527;;;;0.9503461858;0.9595333778;;;56317.4804688;57880.3164062;
;TH;2016;p25p100;237863.188315;285705.386375;;;4.1241168976;4.8064274788;;;;0.9473196394;0.9569138071;;;57676.1484375;59442.359375;
;TH;2016;p26p100;240288.871117;288752.281533;;;4.0691204071;4.7310576439;;;;0.9442204857;0.9542238641;;;59051.796875;61033.3476562;
;TH;2016;p27p100;242762.069388;291860.634107;;;4.0165319443;4.6580705643;;;;0.9410479063;0.9514621388;;;60440.71875;62656.9804688;
;TH;2016;p28p100;245284.625182;295032.583819;;;3.9667258263;4.587896347;;;;0.9378013747;0.9486272777;;;61835.5390625;64306.7265625;
;TH;2016;p29p100;247858.617859;298270.566557;;;3.9202904701;4.5217299461;;;;0.9344808675;0.9457184838;;;63224.5546875;65963.8203125;
;TH;2016;p30p100;250486.448168;301577.526664;;;3.878041029;4.4615411758;;;;0.9310871145;0.9427361147;;;64590.9726562;67594.921875;
;TH;2016;p31p100;253170.909464;304957.132526;;;3.8405253887;4.4092020988;;;;0.9276217739;0.939682233;;;65920.90625;69163.7890625;
;TH;2016;p32p100;255914.94522;308413.488868;;;3.8065252304;4.3635935783;;;;0.9240864529;0.9365595709;;;67230.59375;70678.78125;
;TH;2016;p33p100;258721.35823;311950.679729;;;3.7746479511;4.3229894638;;;;0.9204816326;0.9333700657;;;68541.8515625;72160.8671875;
;TH;2016;p34p100;261592.817942;315572.720854;;;3.7438476086;4.2858843803;;;;0.9168067318;0.9301147236;;;69872.71875;73630.7109375;
;TH;2016;p35p100;264531.916133;319283.56193;;;3.7134363651;4.2509760857;;;;0.913060334;0.9267936422;;;71236.421875;75108.296875;
;TH;2016;p36p100;267541.245789;323087.09509;;;3.6831071377;4.2171578407;;;;0.9092404762;0.9234060485;;;72640.09375;76612.5234375;
;TH;2016;p37p100;270623.508986;326987.171668;;;3.6529605389;4.1835255623;;;;0.9053450098;0.9199503599;;;74083.3359375;78160.671875;
;TH;2016;p38p100;273781.660921;330987.629658;;;3.623537302;4.1493878365;;;;0.9013720456;0.9164242688;;;75556.4609375;79767.8203125;
;TH;2016;p39p100;277019.098777;335092.334965;;;3.5958526134;4.1142854691;;;;0.8973204983;0.9128248578;;;77038.5;81446.0625;
;TH;2016;p40p100;280339.90611;339305.240288;;;3.5714447498;4.0780096054;;;;0.8931907477;0.9091487518;;;78494.8203125;83203.640625;
;TH;2016;p41p100;283749.085671;343630.478045;;;3.5515978336;4.0407514572;;;;0.8889851864;0.9053923431;;;79893.359375;85041.234375;
;TH;2016;p42p100;287252.010996;348072.582946;;;3.5347657204;4.0033516884;;;;0.8847062862;0.9015523277;;;81264.796875;86945.296875;
;TH;2016;p43p100;290853.695999;352636.677657;;;3.5189552307;3.9666500092;;;;0.8803542889;0.8976260883;;;82653.421875;88900.375;
;TH;2016;p44p100;294558.770053;357328.51074;;;3.5025742054;3.9313127995;;;;0.875927228;0.8936116577;;;84097.796875;90892.921875;
;TH;2016;p45p100;298371.566594;362154.471482;;;3.4844863415;3.8978168964;;;;0.8714212894;0.8895076156;;;85628.5625;92912.1328125;
;TH;2016;p46p100;302296.265559;367121.590575;;;3.4640846252;3.8664386272;;;;0.8668312981;0.8853129471;;;87265.84375;94950.8359375;
;TH;2016;p47p100;306337.106549;372237.521249;;;3.441369772;3.8372368813;;;;0.8621513595;0.881026855;;;89016.0390625;97006.65625;
;TH;2016;p48p100;310498.694153;377510.493887;;;3.4170300961;3.8100264072;;;;0.8573756861;0.8766485151;;;90868.0;99083.4296875;
;TH;2016;p49p100;314786.422738;382949.235148;;;3.3925225735;3.7843503952;;;;0.8524996515;0.8721767634;;;92788.3046875;101192.859375;
;TH;2016;p50p100;319207.055345;388562.840021;;;3.3701629639;3.75943923;;;;0.847521117;0.8676096993;;;94715.6171875;103356.59375;
;TH;2016;p51p100;323769.364531;394360.627111;;;3.3523116112;3.7344856262;;;;0.8424417365;0.8629442872;;;96580.9296875;105599.71875;
;TH;2016;p52p100;328483.490877;400352.428351;;;3.3383748531;3.7096858025;;;;0.8372647873;0.858176927;;;98396.2265625;107920.84375;
;TH;2016;p53p100;333359.824899;406549.066896;;;3.3270995617;3.6854925156;;;;0.8319920166;0.8533043429;;;100195.328125;110310.648438;
;TH;2016;p54p100;338408.957333;412962.510785;;;3.3174464703;3.6623220444;;;;0.8266234536;0.8483236776;;;102008.867188;112759.75;
;TH;2016;p55p100;343641.790818;419605.998749;;;3.3086218834;3.6405498981;;;;0.8211576235;0.8432324896;;;103862.515625;115258.960938;
;TH;2016;p56p100;349069.713014;426494.176373;;;3.3001241684;3.6205048561;;;;0.8155918685;0.8380287369;;;105774.71875;117799.640625;
;TH;2016;p57p100;354704.854157;433643.242048;;;3.2918105125;3.6024618149;;;;0.809922808;0.8327107431;;;107753.726562;120374.140625;
;TH;2016;p58p100;360560.459942;441071.101414;;;3.2839744091;3.5866322517;;;;0.8041469725;0.8272771404;;;109793.929688;122976.390625;
;TH;2016;p59p100;366651.421127;448797.527941;;;3.2774443626;3.5731520653;;;;0.7982616604;0.8217267827;;;111871.132812;125602.695312;
;TH;2016;p60p100;372995.015393;456844.325692;;;3.2737071514;3.5620646477;;;;0.7922660775;0.8160586185;;;113936.585938;128252.679688;
;TH;2016;p61p100;379611.757612;465235.465715;;;3.2742750645;3.5532040596;;;;0.7861624637;0.8102714762;;;115937.648438;130934.070312;
;TH;2016;p62p100;386524.609642;473996.995746;;;3.2781555653;3.5459532738;;;;0.7799536389;0.8043634258;;;117909.171875;133672.65625;
;TH;2016;p63p100;393757.574655;483156.986784;;;3.2837636471;3.5396301746;;;;0.7736395919;0.7983312278;;;119910.445312;136499.28125;
;TH;2016;p64p100;401335.705263;492745.762774;;;3.2896859646;3.5336124897;;;;0.7672172192;0.7921702503;;;121998.179688;139445.328125;
;TH;2016;p65p100;409285.372797;502796.220281;;;3.2947599888;3.527361393;;;;0.7606805469;0.7858744656;;;124223.125;142541.734375;
;TH;2016;p66p100;417634.700986;513344.239754;;;3.2981898785;3.5204563141;;;;0.7540211634;0.7794365004;;;126625.429688;145817.53125;
;TH;2016;p67p100;426414.245157;524429.22336;;;3.2996997833;3.5126361847;;;;0.7472289445;0.7728477621;;;129228.195312;149297.90625;
;TH;2016;p68p100;435658.035092;536094.808861;;;3.2997224331;3.5038583279;;;;0.7402931801;0.7660986722;;;132028.6875;153001.28125;
;TH;2016;p69p100;445405.153441;548389.829998;;;3.2996327877;3.4943668842;;;;0.7332042492;0.7591790507;;;134986.28125;156935.390625;
;TH;2016;p70p100;455702.10018;561369.624162;;;3.3020448685;3.4847793579;;;;0.7259560461;0.7520787075;;;138006.03125;161091.875;
