Variable Code;country;year;perc;afiinc992t;bfiinc992t;tfiinc992t;mfiinc999i;sfiinc992t;sptinc992t
;PT;1997;p95p100;74323.5234375;1.7014325857;43682.9101562;;0.2426999956;0.2426999956
;PT;1997;p99.5p100;170573.765625;1.5197447538;112238.429688;;0.0557000004;0.0557000004
;PT;1996;p0p100;14758.8349609;;;73808404480.0;;
;PT;1996;p99p100;124712.273438;1.5068166256;82765.390625;;0.0844999999;0.0844999999
;PT;1996;p99.9p100;271566.0625;1.5383392572;176531.96875;;0.0184000004;0.0184000004
;PT;1996;p99.99p100;605011.8125;1.5313729048;395078.0625;;0.0041;0.0041
;PT;1996;p90p100;51759.21875;1.8700318336;27678.2558594;;0.350699991;0.350699991
;PT;1996;p90p95;33532.0625;;27678.2558594;;0.1136000007;0.1136000007
;PT;1996;p95p99;56304.921875;;41608.59375;;0.1526000053;0.1526000053
;PT;1996;p99.5p99.9;128770.570312;;105088.28125;;0.0348999985;0.0348999985
;PT;1996;p99.9p99.99;234509.15625;;176531.96875;;0.0142999999;0.0142999999
;PT;1996;p99p99.5;92095.21875;;82765.390625;;0.0311999992;0.0311999992
;PT;1996;p95p100;69986.375;1.6820173264;41608.59375;;0.2371000051;0.2371000051
;PT;1996;p99.5p100;157329.328125;1.4971158504;105088.28125;;0.0533000007;0.0533000007
;PT;1995;p0p100;13842.8232422;;;68150419456.0;;
;PT;1995;p99p100;116418.257812;1.4810417891;78605.65625;;0.0841000006;0.0841000006
;PT;1995;p99.9p100;247789.734375;1.5212051868;162890.40625;;0.0178999994;0.0178999994
;PT;1995;p99.99p100;539780.5625;1.505603075;358514.5;;0.0038999999;0.0038999999
;PT;1995;p90p100;48975.8984375;1.8521436453;26442.8183594;;0.3537999988;0.3537999988
;PT;1995;p90p95;31949.2285156;;26442.8183594;;0.1154000014;0.1154000014
;PT;1995;p95p99;53398.6640625;;39411.7734375;;0.1543000042;0.1543000042
;PT;1995;p99.5p99.9;120086.25;;98505.3359375;;0.0346999988;0.0346999988
;PT;1995;p99.9p99.99;215339.859375;;162890.40625;;0.0140000004;0.0140000004
;PT;1995;p99p99.5;87209.875;;78605.65625;;0.0315000005;0.0315000005
;PT;1995;p95p100;66002.5703125;1.6746916771;39411.7734375;;0.2383999974;0.2383999974
;PT;1995;p99.5p100;145626.640625;1.4783630371;98505.3359375;;0.0526000001;0.0526000001
;PT;1994;p0p100;13885.125;;;67295145984.0;;
;PT;1994;p99p100;113719.289062;1.4624176025;77761.1640625;;0.0819000006;0.0819000006
;PT;1994;p99.9p100;234661.65625;1.5039274693;156032.5625;;0.0168999992;0.0168999992
;PT;1994;p99.99p100;513664.4375;1.5125179291;339608.8125;;0.0037;0.0037
;PT;1994;p90p100;48625.6992188;1.8410840034;26411.4511719;;0.3501999974;0.3501999974
;PT;1994;p90p95;31963.5527344;;26411.4511719;;0.1150999963;0.1150999963
;PT;1994;p95p99;53180.0039062;;39450.5195312;;0.1532000005;0.1532000005
;PT;1994;p99.5p99.9;117676.203125;;96973.25;;0.0339000002;0.0339000002
;PT;1994;p99.9p99.99;203655.1875;;156032.5625;;0.0131999999;0.0131999999
;PT;1994;p99p99.5;86365.5625;;77761.1640625;;0.0310999993;0.0310999993
;PT;1994;p95p100;65287.8476562;1.6549299955;39450.5195312;;0.2351000011;0.2351000011
;PT;1994;p99.5p100;141073.015625;1.4547622204;96973.25;;0.0507999994;0.0507999994
;PT;1993;p0p100;13794.1025391;;;65813880832.0;;
;PT;1993;p99p100;111180.570312;1.4493025541;76713.15625;;0.0806000009;0.0806000009
;PT;1993;p99.9p100;226226.203125;1.4938802719;151435.296875;;0.0164000001;0.0164000001
;PT;1993;p99.99p100;510297.125;1.5552477837;328113.0625;;0.0037;0.0037
;PT;1993;p90p100;47837.9375;1.8366858959;26045.7910156;;0.3467999995;0.3467999995
;PT;1993;p90p95;31505.7226562;;26045.7910156;;0.1142000034;0.1142000034
;PT;1993;p95p99;52417.5625;;38980.8359375;;0.1519999951;0.1519999951
;PT;1993;p99.5p99.9;114490.820312;;95205.0625;;0.0331999995;0.0331999995
;PT;1993;p99.9p99.99;194656.484375;;151435.296875;;0.0126999998;0.0126999998
;PT;1993;p99p99.5;85523.515625;;76713.15625;;0.0309999995;0.0309999995
;PT;1993;p95p100;64170.1484375;1.6461974382;38980.8359375;;0.2326000035;0.2326000035
;PT;1993;p99.5p100;136837.625;1.4372936487;95205.0625;;0.0496000014;0.0496000014
;PT;1992;p0p100;14491.6367188;;;68066205696.0;;
;PT;1992;p99p100;109846.703125;1.4374781847;76416.2578125;;0.0758000016;0.0758000016
;PT;1992;p99.9p100;221724.890625;1.4835592508;149454.6875;;0.0153000001;0.0153000001
;PT;1992;p99.99p100;507123.125;1.5860791206;319733.8125;;0.0035000001;0.0035000001
;PT;1992;p90p100;48039.7617188;1.8046239614;26620.3730469;;0.3314999938;0.3314999938
;PT;1992;p90p95;31997.5253906;;26620.3730469;;0.1103999987;0.1103999987
;PT;1992;p95p99;52640.8398438;;39346.4492188;;0.1453000009;0.1453000009
;PT;1992;p99.5p99.9;113396.820312;;94979.796875;;0.0313000008;0.0313000008
;PT;1992;p99.9p99.99;190007.671875;;149454.6875;;0.0118000004;0.0118000004
;PT;1992;p99p99.5;84631.234375;;76416.2578125;;0.0292000007;0.0292000007
;PT;1992;p95p100;64082.0;1.6286603212;39346.4492188;;0.2211000025;0.2211000025
;PT;1992;p99.5p100;135062.171875;1.4220095873;94979.796875;;0.0465999991;0.0465999991
;PT;1991;p0p100;14096.6689453;;;65180946432.0;;
;PT;1991;p99p100;105161.242188;1.4545785189;72296.7109375;;0.0746000037;0.0746000037
;PT;1991;p99.9p100;218501.171875;1.5382310152;142047.046875;;0.0154999997;0.0154999997
;PT;1991;p99.99p100;563773.1875;1.7606476545;320207.84375;;0.0040000002;0.0040000002
;PT;1991;p90p100;45715.484375;1.7916095257;25516.4335938;;0.3242999911;0.3242999911
;PT;1991;p90p95;30561.5703125;;25516.4335938;;0.1084000021;0.1084000021
;PT;1991;p95p99;49796.453125;;37464.203125;;0.1412999928;0.1412999928
;PT;1991;p99.5p99.9;108191.710938;;90187.3203125;;0.0307;0.0307
;PT;1991;p99.9p99.99;180129.984375;;142047.046875;;0.0115;0.0115
;PT;1991;p99p99.5;80069.1484375;;72296.7109375;;0.0284000002;0.0284000002
;PT;1991;p95p100;60869.3984375;1.6247348785;37464.203125;;0.2159000039;0.2159000039
;PT;1991;p99.5p100;130253.335938;1.4442533255;90187.3203125;;0.0461999997;0.0461999997
;PT;1990;p0p100;13470.2675781;;;61421486080.0;;
;PT;1990;p99p100;97120.7265625;1.479790926;65631.3828125;;0.0720999986;0.0720999986
;PT;1990;p99.9p100;215527.0625;1.6369354725;131664.96875;;0.0160000008;0.0160000008
;PT;1990;p99.99p100;606061.5;1.9417603016;312119.625;;0.0044999998;0.0044999998
;PT;1990;p90p100;42013.7578125;1.7691062689;23748.5761719;;0.3118999898;0.3118999898
;PT;1990;p90p95;28260.6152344;;23748.5761719;;0.1049000025;0.1049000025
;PT;1990;p95p99;45428.453125;;34355.8007812;;0.1349000037;0.1349000037
;PT;1990;p99.5p99.9;98332.7578125;;81833.734375;;0.0292000007;0.0292000007
;PT;1990;p99.9p99.99;172125.734375;;131664.96875;;0.0115;0.0115
;PT;1990;p99p99.5;72470.109375;;65631.3828125;;0.0269000009;0.0269000009
;PT;1990;p95p100;55766.8984375;1.6232162714;34355.8007812;;0.2070000023;0.2070000023
;PT;1990;p99.5p100;121771.34375;1.4880335331;81833.734375;;0.0452000014;0.0452000014
;PT;1989;p0p100;12897.5996094;;;57995313152.0;;
;PT;1989;p99p100;88219.671875;1.4755026102;59789.5703125;;0.068400003;0.068400003
;PT;1989;p99.9p100;197335.828125;1.6549521685;119239.59375;;0.0153000001;0.0153000001
;PT;1989;p99.99p100;580295.6875;2.1489386559;270038.28125;;0.0044999998;0.0044999998
;PT;1989;p90p100;38950.7421875;1.7411060333;22371.2636719;;0.3019999862;0.3019999862
;PT;1989;p90p95;26594.8457031;;22371.2636719;;0.1031000018;0.1031000018
;PT;1989;p95p99;42078.3984375;;32164.0;;0.1305000037;0.1305000037
;PT;1989;p99.5p99.9;88993.2578125;;74042.71875;;0.0275999997;0.0275999997
;PT;1989;p99.9p99.99;154776.265625;;119239.59375;;0.0108000003;0.0108000003
;PT;1989;p99p99.5;65777.8203125;;59789.5703125;;0.0254999995;0.0254999995
;PT;1989;p95p100;51306.640625;1.5951573849;32164.0;;0.1988999993;0.1988999993
;PT;1989;p99.5p100;110661.515625;1.4945631027;74042.71875;;0.0428999998;0.0428999998
;PT;1988;p0p100;13771.1035156;;;61065035776.0;;
;PT;1987;p0p100;12830.6464844;;;56106385408.0;;
;PT;1986;p0p100;12080.7714844;;;52095275008.0;;
;PT;1985;p0p100;11193.5625;;;47600537600.0;;
;PT;1984;p0p100;11034.1025391;;;46272229376.0;;
;PT;1983;p0p100;11782.03125;;;48724062208.0;;
;PT;1982;p0p100;11737.8232422;;;47868604416.0;;
;PT;1982;p99p100;56224.2304688;;;;0.0478999987;0.0478999987
;PT;1982;p99.9p100;85687.21875;;;;0.0073000002;0.0073000002
;PT;1982;p90p100;24637.6855469;;;;0.2099000067;0.2099000067
;PT;1982;p90p95;15658.2529297;;;;0.0666999966;0.0666999966
;PT;1982;p95p99;27965.3496094;;;;0.0952999964;0.0952999964
;PT;1982;p99.5p99.9;62503.7851562;;;;0.0212999992;0.0212999992
;PT;1982;p99p99.5;45308.0429688;;;;0.0193000007;0.0193000007
;PT;1982;p95p100;33617.1171875;;;;0.1431999952;0.1431999952
;PT;1982;p99.5p100;67140.4140625;;;;0.0285999998;0.0285999998
;PT;1981;p0p100;12046.1669922;;;48445337600.0;;
;PT;1981;p99p100;47823.328125;;;;0.0397000015;0.0397000015
;PT;1981;p99.9p100;87938.1484375;;;;0.0073000002;0.0073000002
;PT;1981;p90p100;22694.9726562;;;;0.1884000003;0.1884000003
;PT;1981;p90p95;16238.2294922;;;;0.067400001;0.067400001
;PT;1981;p95p99;24483.8222656;;;;0.0812999979;0.0812999979
;PT;1981;p99.5p99.9;50292.6445312;;;;0.0166999996;0.0166999996
;PT;1981;p99p99.5;37825.0;;;;0.0156999994;0.0156999994
;PT;1981;p95p100;29151.7167969;;;;0.1209999993;0.1209999993
;PT;1981;p99.5p100;57821.65625;;;;0.0240000002;0.0240000002
;PT;1980;p0p100;12180.5371094;;;48368791552.0;;
;PT;1980;p99p100;52619.96875;;;;0.0432000011;0.0432000011
;PT;1980;p99.9p100;98663.6171875;;;;0.0081000002;0.0081000002
;PT;1980;p90p100;22862.8613281;;;;0.1877000034;0.1877000034
;PT;1980;p90p95;15298.75;;;;0.0627999976;0.0627999976
;PT;1980;p95p99;24878.7324219;;;;0.0816999972;0.0816999972
;PT;1980;p99.5p99.9;56030.3554688;;;;0.0184000004;0.0184000004
;PT;1980;p99p99.5;40683.03125;;;;0.0166999996;0.0166999996
;PT;1980;p95p100;30426.9726562;;;;0.1248999983;0.1248999983
;PT;1980;p99.5p100;64556.90625;;;;0.0264999997;0.0264999997
;PT;1979;p0p100;11578.1933594;;;45397856256.0;;
;PT;1979;p99p100;52333.484375;;;;0.0452000014;0.0452000014
;PT;1979;p99.9p100;90311.078125;;;;0.0077999998;0.0077999998
;PT;1979;p90p100;23526.8847656;;;;0.2031999975;0.2031999975
;PT;1979;p90p95;16302.0927734;;;;0.0703999996;0.0703999996
;PT;1979;p95p99;25356.2304688;;;;0.0876000002;0.0876000002
;PT;1979;p99.5p99.9;57311.9453125;;;;0.0197999999;0.0197999999
;PT;1979;p99p99.5;40755.28125;;;;0.0175999999;0.0175999999
;PT;1979;p95p100;30751.6757812;;;;0.1327999979;0.1327999979
;PT;1979;p99.5p100;63911.6914062;;;;0.0275999997;0.0275999997
;PT;1978;p0p100;11453.4970703;;;44343336960.0;;
;PT;1978;p99p100;66086.7421875;;;;0.0577000007;0.0577000007
;PT;1978;p99.9p100;131716.921875;;;;0.0115;0.0115
;PT;1978;p99.99p100;412257.5;;;;0.0035999999;0.0035999999
;PT;1978;p90p100;28553.5625;;;;0.2493000031;0.2493000031
;PT;1978;p90p95;19837.453125;;;;0.0865999982;0.0865999982
;PT;1978;p95p99;30065.4140625;;;;0.1049999967;0.1049999967
;PT;1978;p99.5p99.9;69579.859375;;;;0.0242999997;0.0242999997
;PT;1978;p99.9p99.99;100539.546875;;;;0.0078999996;0.0078999996
;PT;1978;p99p99.5;50166.3671875;;;;0.0219000001;0.0219000001
;PT;1978;p95p100;37269.671875;;;;0.1626999974;0.1626999974
;PT;1978;p99.5p100;82007.1171875;;;;0.0357999988;0.0357999988
;PT;1977;p0p100;11385.3486328;;;43524354048.0;;
;PT;1977;p99p100;72866.3046875;;;;0.064000003;0.064000003
;PT;1977;p99.9p100;148011.4375;;;;0.0130000003;0.0130000003
;PT;1977;p99.99p100;341503.78125;;;;0.003;0.003
;PT;1977;p90p100;30558.2675781;;;;0.2684000134;0.2684000134
;PT;1977;p90p95;21358.9082031;;;;0.0938000008;0.0938000008
;PT;1977;p95p99;31480.4726562;;;;0.1106000021;0.1106000021
;PT;1977;p99.5p99.9;77989.4765625;;;;0.0274;0.0274
;PT;1977;p99.9p99.99;126508.015625;;;;0.0099999998;0.0099999998
;PT;1977;p99p99.5;53738.8984375;;;;0.0236000009;0.0236000009
;PT;1977;p95p100;39757.6289062;;;;0.1746000051;0.1746000051
;PT;1977;p99.5p100;91993.703125;;;;0.0403999984;0.0403999984
