Sources;.;.;.;http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015)
Variable Code;country;year;perc;afiinc992i;ahwagr992i;ahwagr999i;ahwbus992i;ahwbus999i;ahwdeb992i;ahwdeb999i;ahwdwe992i;ahwdwe999i;ahweal992i;ahweal999i;ahwequ992i;ahwequ999i;ahwfin992i;ahwfin999i;ahwfix992i;ahwfix999i;ahwhou992i;ahwhou999i;ahwlan992i;ahwlan999i;ahwnfa992i;ahwnfa999i;ahwodk992i;ahwodk999i;ahwpen992i;ahwpen999i;aptinc992j;bptinc992j;mfiinc992i;mhwagr999i;mhwbus999i;mhwdeb999i;mhwdwe999i;mhweal999i;mhwequ999i;mhwfin999i;mhwfix999i;mhwhou999i;mhwlan999i;mhwnfa999i;mhwodk999i;mhwpen999i;sfiinc992i;sfiinc992t;sptinc992j;tptinc992j
;CZ;2008;p99.7p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;9845072.30194;3.1170458723;;;;;;;;;;;;;;;;;0.0753494048;3158462.43695
;CZ;2008;p99.7p99.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;3546623.34135;;;;;;;;;;;;;;;;;;0.0090480445;3158462.43695
;CZ;2008;p99.8p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;12994296.7822;3.2192090605;;;;;;;;;;;;;;;;;0.0663013603;4036487.39114
;CZ;2008;p99.8p99.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;4938838.18883;;;;;;;;;;;;;;;;;;0.0125998234;4036487.39114
;CZ;2008;p99.91p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;22666289.9062;3.3663952919;;;;;;;;;;;;;;;;;0.0520430344;6733104.08926
;CZ;2008;p99.91p99.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;6996926.93972;;;;;;;;;;;;;;;;;;0.0017850361;6733104.08926
;CZ;2008;p99.92p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;24624960.277;3.3829237688;;;;;;;;;;;;;;;;;0.0502579983;7279194.55482
;CZ;2008;p99.92p99.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;7605162.22244;;;;;;;;;;;;;;;;;;0.0019402073;7279194.55482
;CZ;2008;p99.93p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;27056359.9991;3.4002853456;;;;;;;;;;;;;;;;;0.0483177909;7957085.14121
;CZ;2008;p99.93p99.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;8372010.30342;;;;;;;;;;;;;;;;;;0.0021358434;7957085.14121
;CZ;2008;p99.94p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;30170418.2817;3.4186259278;;;;;;;;;;;;;;;;;0.0461819475;8825305.52311
;CZ;2008;p99.94p99.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;9374802.44061;;;;;;;;;;;;;;;;;;0.0023916729;8825305.52311
;CZ;2008;p99.95p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;34329541.4499;3.4381467712;;;;;;;;;;;;;;;;;0.0437902746;9984897.02004
;CZ;2008;p99.95p99.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;10753996.6382;;;;;;;;;;;;;;;;;;0.002743529;9984897.02004
;CZ;2008;p99.96p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;40223427.6529;3.4591418538;;;;;;;;;;;;;;;;;0.0410467455;11628152.1121
;CZ;2008;p99.96p99.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;12797616.2732;;;;;;;;;;;;;;;;;;0.0032648914;11628152.1121
;CZ;2008;p99.97p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;49365364.7794;3.4820776468;;;;;;;;;;;;;;;;;0.0377818541;14176985.6351
;CZ;2008;p99.97p99.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;16219687.8936;;;;;;;;;;;;;;;;;;0.0041379206;14176985.6351
;CZ;2008;p99.98p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;65938203.2223;3.5077982191;;;;;;;;;;;;;;;;;0.0336439335;18797604.3956
;CZ;2008;p99.98p99.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;23546238.2521;;;;;;;;;;;;;;;;;;0.0060070493;18797604.3956
;CZ;2008;p99.991p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;116837204.061;3.5417461383;;;;;;;;;;;;;;;;;0.0268264575;32988587.9726
;CZ;2008;p99.991p99.992;;;;;;;;;;;;;;;;;;;;;;;;;;;;34376959.4616;;;;;;;;;;;;;;;;;;0.0008770152;32988587.9726
;CZ;2008;p99.992p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;127144734.636;3.5453496151;;;;;;;;;;;;;;;;;0.0259494423;35862396.7841
;CZ;2008;p99.992p99.993;;;;;;;;;;;;;;;;;;;;;;;;;;;;37577806.2522;;;;;;;;;;;;;;;;;;0.0009586743;35862396.7841
;CZ;2008;p99.993p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;139940010.12;3.5490920636;;;;;;;;;;;;;;;;;0.024990768;39429805.5988
;CZ;2008;p99.993p99.994;;;;;;;;;;;;;;;;;;;;;;;;;;;;41613355.1442;;;;;;;;;;;;;;;;;;0.0010616281;39429805.5988
;CZ;2008;p99.994p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;156327785.949;3.5529988926;;;;;;;;;;;;;;;;;0.0239291399;43998827.6586
;CZ;2008;p99.994p99.995;;;;;;;;;;;;;;;;;;;;;;;;;;;;46890562.9707;;;;;;;;;;;;;;;;;;0.0011962587;43998827.6586
;CZ;2008;p99.995p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;178215230.544;3.5571054322;;;;;;;;;;;;;;;;;0.0227328812;50101194.3393
;CZ;2008;p99.995p99.996;;;;;;;;;;;;;;;;;;;;;;;;;;;;54148591.9755;;;;;;;;;;;;;;;;;;0.0013814235;50101194.3393
;CZ;2008;p99.996p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;209231890.187;3.5614637383;;;;;;;;;;;;;;;;;0.0213514577;58748847.5415
;CZ;2008;p99.996p99.997;;;;;;;;;;;;;;;;;;;;;;;;;;;;64903169.2591;;;;;;;;;;;;;;;;;;0.0016557912;58748847.5415
;CZ;2008;p99.997p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;257341463.829;3.5661571971;;;;;;;;;;;;;;;;;0.0196956666;72162120.0655
;CZ;2008;p99.997p99.998;;;;;;;;;;;;;;;;;;;;;;;;;;;;82911869.6388;;;;;;;;;;;;;;;;;;0.002115224;72162120.0655
;CZ;2008;p99.998p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;344556260.924;3.5713382958;;;;;;;;;;;;;;;;;0.0175804425;96478191.7537
;CZ;2008;p99.998p99.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;121467944.702;;;;;;;;;;;;;;;;;;0.0030988556;96478191.7537
;CZ;2008;p99.99p99.991;;;;;;;;;;;;;;;;;;;;;;;;;;;;31766845.3743;;;;;;;;;;;;;;;;;;0.0008104267;30616769.1882
;CZ;2008;p99.9p99.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;6500944.60058;;;;;;;;;;;;;;;;;;0.0016585025;6282403.39579
;CZ;2008;p99p99.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1602163.58522;;;;;;;;;;;;;;;;;;0.0040873941;1543104.55451
;CZ;2007;p0p100;147103.00232;23902.6678483;18963.8161522;115562.797476;91684.8135648;120368.987642;95497.9321375;460142.499739;365066.268932;966002.949612;766404.087412;133534.710318;105943.307772;419870.780247;333115.631061;233520.761047;185269.895743;550938.359531;437101.574924;90795.8597917;72035.305992;666501.157007;528786.388489;91660.1296276;72720.9974126;52815.3088825;41902.4275461;388743.724761;;1204741.10652;1.95757576393e+11;9.46433816453e+11;9.85795453599e+11;3.76846555857e+12;7.91135104268e+12;1.09361981776e+12;3.43864906048e+12;1.91248351482e+12;4.51206361935e+12;7.43598060775e+11;5.4584974358e+12;7.5067624006e+11;4.32545727904e+11;;;1.0;0.0
;CZ;2007;p0p50;;;;;;;;;;;;;;;;;;;;;;;;;;;;224804.315128;;;;;;;;;;;;;;;;;;0.2891420502;0.0
;CZ;2007;p50p90;;;;;;;;;;;;;;;;;;;;;;;;;;;;420809.643187;;;;;;;;;;;;;;;;;;0.4329944036;314865.827519
;CZ;2007;p90p99;;;;;;;;;;;;;;;;;;;;;;;;;;;;807221.451225;;;;;;;;;;;;;;;;;;0.1868838671;598293.281148
;CZ;2007;p99p100;1329508.97716;;;;;;;;;;;;;;;;;;;;;;;;;;;3536777.93119;2.3023182123;;;;;;;;;;;;;;;0.0903794543;;0.0909796791;1536181.19005
;CZ;2007;p99.9p100;4440335.729;;;;;;;;;;;;;;;;;;;;;;;;;;;13735642.1271;2.5296158763;;;;;;;;;;;;;;;0.0301852151;;0.0353334118;5429931.9734
;CZ;2007;p99.99p100;16113240.3241;;;;;;;;;;;;;;;;;;;;;;;;;;;56077413.5424;2.596742617;;;;;;;;;;;;;;;0.0109537126;;0.014425291;21595291.4144
;CZ;2007;p99.999p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;231864204.321;2.6138013209;;;;;;;;;;;;;;;;;0.0059644488;88707662.0807
;CZ;2007;p0p10;;;;;;;;;;;;;;;;;;;;;;;;;;;;144895.705352;;;;;;;;;;;;;;;;;;0.0372728088;0.0
;CZ;2007;p10p20;;;;;;;;;;;;;;;;;;;;;;;;;;;;199102.60227;;;;;;;;;;;;;;;;;;0.0512169302;185168.498508
;CZ;2007;p20p30;;;;;;;;;;;;;;;;;;;;;;;;;;;;226213.795125;;;;;;;;;;;;;;;;;;0.0581909831;212221.608396
;CZ;2007;p30p40;;;;;;;;;;;;;;;;;;;;;;;;;;;;258593.113078;;;;;;;;;;;;;;;;;;0.0665202025;241750.988773
;CZ;2007;p40p50;;;;;;;;;;;;;;;;;;;;;;;;;;;;295216.359813;;;;;;;;;;;;;;;;;;0.0759411255;276242.590623
;CZ;2007;p50p60;;;;;;;;;;;;;;;;;;;;;;;;;;;;335378.795333;;;;;;;;;;;;;;;;;;0.0862724654;314865.827519
;CZ;2007;p60p70;;;;;;;;;;;;;;;;;;;;;;;;;;;;380269.184358;;;;;;;;;;;;;;;;;;0.0978200187;356697.180287
;CZ;2007;p70p80;;;;;;;;;;;;;;;;;;;;;;;;;;;;438596.099729;;;;;;;;;;;;;;;;;;0.1128239691;404633.052878
;CZ;2007;p80p90;;;;;;;;;;;;;;;;;;;;;;;;;;;;528994.493328;;;;;;;;;;;;;;;;;;0.1360779505;474094.473005
;CZ;2007;p90p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1080177.09922;1.8054307699;;;;;;;;;;;;;;;;;0.2778635462;598293.281148
;CZ;2007;p0p1;;;;;;;;;;;;;;;;;;;;;;;;;;;;33310.4784863;;;;;;;;;;;;;;;;;;0.000856875;0.0
;CZ;2007;p1p2;;;;;;;;;;;;;;;;;;;;;;;;;;;;99931.4354589;;;;;;;;;;;;;;;;;;0.002570625;66620.9569726
;CZ;2007;p2p3;;;;;;;;;;;;;;;;;;;;;;;;;;;;145628.199981;;;;;;;;;;;;;;;;;;0.0037461235;133241.913945
;CZ;2007;p3p4;;;;;;;;;;;;;;;;;;;;;;;;;;;;151715.373008;;;;;;;;;;;;;;;;;;0.0039027092;149142.055661
;CZ;2007;p4p5;;;;;;;;;;;;;;;;;;;;;;;;;;;;156862.0077;;;;;;;;;;;;;;;;;;0.0040351007;154288.690354
;CZ;2007;p5p6;;;;;;;;;;;;;;;;;;;;;;;;;;;;162008.642392;;;;;;;;;;;;;;;;;;0.0041674922;159435.325046
;CZ;2007;p6p7;;;;;;;;;;;;;;;;;;;;;;;;;;;;167155.277085;;;;;;;;;;;;;;;;;;0.0042998836;164581.959739
;CZ;2007;p7p8;;;;;;;;;;;;;;;;;;;;;;;;;;;;172301.911777;;;;;;;;;;;;;;;;;;0.0044322751;169728.594431
;CZ;2007;p8p9;;;;;;;;;;;;;;;;;;;;;;;;;;;;177448.54647;;;;;;;;;;;;;;;;;;0.0045646665;174875.229123
;CZ;2007;p9p10;;;;;;;;;;;;;;;;;;;;;;;;;;;;182595.181162;;;;;;;;;;;;;;;;;;0.004697058;180021.863816
;CZ;2007;p10p11;;;;;;;;;;;;;;;;;;;;;;;;;;;;186605.19591;;;;;;;;;;;;;;;;;;0.0048002111;185168.498508
;CZ;2007;p11p12;;;;;;;;;;;;;;;;;;;;;;;;;;;;189478.590713;;;;;;;;;;;;;;;;;;0.004874126;188041.893311
;CZ;2007;p12p13;;;;;;;;;;;;;;;;;;;;;;;;;;;;192351.985516;;;;;;;;;;;;;;;;;;0.0049480409;190915.288115
;CZ;2007;p13p14;;;;;;;;;;;;;;;;;;;;;;;;;;;;195225.380319;;;;;;;;;;;;;;;;;;0.0050219558;193788.682918
;CZ;2007;p14p15;;;;;;;;;;;;;;;;;;;;;;;;;;;;198095.072078;;;;;;;;;;;;;;;;;;0.0050957754;196662.077721
;CZ;2007;p15p16;;;;;;;;;;;;;;;;;;;;;;;;;;;;200759.840622;;;;;;;;;;;;;;;;;;0.0051643236;199486.310869
;CZ;2007;p16p17;;;;;;;;;;;;;;;;;;;;;;;;;;;;203306.900128;;;;;;;;;;;;;;;;;;0.0052298439;202033.370375
;CZ;2007;p17p18;;;;;;;;;;;;;;;;;;;;;;;;;;;;205853.959633;;;;;;;;;;;;;;;;;;0.0052953642;204580.42988
;CZ;2007;p18p19;;;;;;;;;;;;;;;;;;;;;;;;;;;;208401.019138;;;;;;;;;;;;;;;;;;0.0053608845;207127.489385
;CZ;2007;p19p20;;;;;;;;;;;;;;;;;;;;;;;;;;;;210948.078643;;;;;;;;;;;;;;;;;;0.0054264047;209674.548891
;CZ;2007;p20p21;;;;;;;;;;;;;;;;;;;;;;;;;;;;212959.783642;;;;;;;;;;;;;;;;;;0.0054781536;212221.608396
;CZ;2007;p21p22;;;;;;;;;;;;;;;;;;;;;;;;;;;;215032.467001;;;;;;;;;;;;;;;;;;0.0055314711;213858.994615
;CZ;2007;p22p23;;;;;;;;;;;;;;;;;;;;;;;;;;;;217792.106162;;;;;;;;;;;;;;;;;;0.0056024597;216319.978104
;CZ;2007;p23p24;;;;;;;;;;;;;;;;;;;;;;;;;;;;220984.634464;;;;;;;;;;;;;;;;;;0.005684584;219335.82206
;CZ;2007;p24p25;;;;;;;;;;;;;;;;;;;;;;;;;;;;224389.747795;;;;;;;;;;;;;;;;;;0.0057721767;222668.194392
;CZ;2007;p25p26;;;;;;;;;;;;;;;;;;;;;;;;;;;;227828.289186;;;;;;;;;;;;;;;;;;0.0058606294;226116.048943
;CZ;2007;p26p27;;;;;;;;;;;;;;;;;;;;;;;;;;;;231170.678188;;;;;;;;;;;;;;;;;;0.0059466086;229523.521387
;CZ;2007;p27p28;;;;;;;;;;;;;;;;;;;;;;;;;;;;234346.472316;;;;;;;;;;;;;;;;;;0.0060283024;232788.906542
;CZ;2007;p28p29;;;;;;;;;;;;;;;;;;;;;;;;;;;;237355.191576;;;;;;;;;;;;;;;;;;0.0061056983;235874.825781
;CZ;2007;p29p30;;;;;;;;;;;;;;;;;;;;;;;;;;;;240278.580916;;;;;;;;;;;;;;;;;;0.0061808993;238819.737916
;CZ;2007;p30p31;;;;;;;;;;;;;;;;;;;;;;;;;;;;243279.663909;;;;;;;;;;;;;;;;;;0.0062580988;241750.988773
;CZ;2007;p31p32;;;;;;;;;;;;;;;;;;;;;;;;;;;;246453.05075;;;;;;;;;;;;;;;;;;0.0063397307;244839.160479
;CZ;2007;p32p33;;;;;;;;;;;;;;;;;;;;;;;;;;;;249768.853892;;;;;;;;;;;;;;;;;;0.006425026;248090.617176
;CZ;2007;p33p34;;;;;;;;;;;;;;;;;;;;;;;;;;;;253187.908548;;;;;;;;;;;;;;;;;;0.0065129774;251464.221528
;CZ;2007;p34p35;;;;;;;;;;;;;;;;;;;;;;;;;;;;256675.734681;;;;;;;;;;;;;;;;;;0.0066026978;254922.959149
;CZ;2007;p35p36;;;;;;;;;;;;;;;;;;;;;;;;;;;;260203.780287;;;;;;;;;;;;;;;;;;0.0066934529;258435.091174
;CZ;2007;p36p37;;;;;;;;;;;;;;;;;;;;;;;;;;;;263750.862636;;;;;;;;;;;;;;;;;;0.0067846976;261975.492192
;CZ;2007;p37p38;;;;;;;;;;;;;;;;;;;;;;;;;;;;267304.835872;;;;;;;;;;;;;;;;;;0.0068761196;265527.19953
;CZ;2007;p38p39;;;;;;;;;;;;;;;;;;;;;;;;;;;;270864.518639;;;;;;;;;;;;;;;;;;0.0069676885;269083.204758
;CZ;2007;p39p40;;;;;;;;;;;;;;;;;;;;;;;;;;;;274441.921566;;;;;;;;;;;;;;;;;;0.0070597132;272648.524064
;CZ;2007;p40p41;;;;;;;;;;;;;;;;;;;;;;;;;;;;278062.569546;;;;;;;;;;;;;;;;;;0.0071528504;276242.590623
;CZ;2007;p41p42;;;;;;;;;;;;;;;;;;;;;;;;;;;;281742.978108;;;;;;;;;;;;;;;;;;0.0072475248;279892.831143
;CZ;2007;p42p43;;;;;;;;;;;;;;;;;;;;;;;;;;;;285480.923515;;;;;;;;;;;;;;;;;;0.0073436793;283602.718936
;CZ;2007;p43p44;;;;;;;;;;;;;;;;;;;;;;;;;;;;289272.010297;;;;;;;;;;;;;;;;;;0.0074412008;287367.989281
;CZ;2007;p44p45;;;;;;;;;;;;;;;;;;;;;;;;;;;;293111.586108;;;;;;;;;;;;;;;;;;0.0075399696;291184.11694
;CZ;2007;p45p46;;;;;;;;;;;;;;;;;;;;;;;;;;;;296994.75208;;;;;;;;;;;;;;;;;;0.0076398597;295046.324164
;CZ;2007;p46p47;;;;;;;;;;;;;;;;;;;;;;;;;;;;300916.378583;;;;;;;;;;;;;;;;;;0.0077407392;298949.593577
;CZ;2007;p47p48;;;;;;;;;;;;;;;;;;;;;;;;;;;;304871.127532;;;;;;;;;;;;;;;;;;0.0078424707;302888.686988
;CZ;2007;p48p49;;;;;;;;;;;;;;;;;;;;;;;;;;;;308853.482692;;;;;;;;;;;;;;;;;;0.0079449124;306858.171442
;CZ;2007;p49p50;;;;;;;;;;;;;;;;;;;;;;;;;;;;312857.789672;;;;;;;;;;;;;;;;;;0.0080479187;310852.454051
;CZ;2007;p50p51;;;;;;;;;;;;;;;;;;;;;;;;;;;;316878.595448;;;;;;;;;;;;;;;;;;0.0081513495;314865.827519
;CZ;2007;p51p52;;;;;;;;;;;;;;;;;;;;;;;;;;;;320913.764243;;;;;;;;;;;;;;;;;;0.0082551497;318893.690005
;CZ;2007;p52p53;;;;;;;;;;;;;;;;;;;;;;;;;;;;324965.318513;;;;;;;;;;;;;;;;;;0.0083593714;322936.541632
;CZ;2007;p53p54;;;;;;;;;;;;;;;;;;;;;;;;;;;;329037.222729;;;;;;;;;;;;;;;;;;0.0084641166;326997.453119
;CZ;2007;p54p55;;;;;;;;;;;;;;;;;;;;;;;;;;;;333135.487756;;;;;;;;;;;;;;;;;;0.0085695399;331081.344491
;CZ;2007;p55p56;;;;;;;;;;;;;;;;;;;;;;;;;;;;337268.615969;;;;;;;;;;;;;;;;;;0.0086758601;335195.391392
;CZ;2007;p56p57;;;;;;;;;;;;;;;;;;;;;;;;;;;;341448.134472;;;;;;;;;;;;;;;;;;0.0087833735;339349.511492
;CZ;2007;p57p58;;;;;;;;;;;;;;;;;;;;;;;;;;;;345689.234808;;;;;;;;;;;;;;;;;;0.0088924711;343556.947576
;CZ;2007;p58p59;;;;;;;;;;;;;;;;;;;;;;;;;;;;350011.54162;;;;;;;;;;;;;;;;;;0.0090036577;347834.967598
;CZ;2007;p59p60;;;;;;;;;;;;;;;;;;;;;;;;;;;;354440.037767;;;;;;;;;;;;;;;;;;0.0091175758;352205.70652
;CZ;2007;p60p61;;;;;;;;;;;;;;;;;;;;;;;;;;;;359001.720639;;;;;;;;;;;;;;;;;;0.00923492;356697.180287
;CZ;2007;p61p62;;;;;;;;;;;;;;;;;;;;;;;;;;;;363681.916762;;;;;;;;;;;;;;;;;;0.0093553129;361326.643813
;CZ;2007;p62p63;;;;;;;;;;;;;;;;;;;;;;;;;;;;368424.443804;;;;;;;;;;;;;;;;;;0.0094773091;366047.415914
;CZ;2007;p63p64;;;;;;;;;;;;;;;;;;;;;;;;;;;;373178.617672;;;;;;;;;;;;;;;;;;0.0095996049;370803.171782
;CZ;2007;p64p65;;;;;;;;;;;;;;;;;;;;;;;;;;;;377908.414142;;;;;;;;;;;;;;;;;;0.0097212737;375549.65784
;CZ;2007;p65p66;;;;;;;;;;;;;;;;;;;;;;;;;;;;382598.631841;;;;;;;;;;;;;;;;;;0.0098419243;380260.099759
;CZ;2007;p66p67;;;;;;;;;;;;;;;;;;;;;;;;;;;;387262.851334;;;;;;;;;;;;;;;;;;0.0099619062;384932.186866
;CZ;2007;p67p68;;;;;;;;;;;;;;;;;;;;;;;;;;;;391953.722472;;;;;;;;;;;;;;;;;;0.0100825736;389597.093912
;CZ;2007;p68p69;;;;;;;;;;;;;;;;;;;;;;;;;;;;396776.283868;;;;;;;;;;;;;;;;;;0.0102066287;394331.150458
;CZ;2007;p69p70;;;;;;;;;;;;;;;;;;;;;;;;;;;;401905.241048;;;;;;;;;;;;;;;;;;0.0103385654;399270.963886
;CZ;2007;p70p71;;;;;;;;;;;;;;;;;;;;;;;;;;;;407583.270486;;;;;;;;;;;;;;;;;;0.0104846264;404633.052878
;CZ;2007;p71p72;;;;;;;;;;;;;;;;;;;;;;;;;;;;413886.883731;;;;;;;;;;;;;;;;;;0.0106467798;410641.484305
;CZ;2007;p72p73;;;;;;;;;;;;;;;;;;;;;;;;;;;;420664.649378;;;;;;;;;;;;;;;;;;0.0108211303;417211.326617
;CZ;2007;p73p74;;;;;;;;;;;;;;;;;;;;;;;;;;;;427742.814079;;;;;;;;;;;;;;;;;;0.0110032082;424167.90542
;CZ;2007;p74p75;;;;;;;;;;;;;;;;;;;;;;;;;;;;434956.273068;;;;;;;;;;;;;;;;;;0.0111887664;431339.910637
;CZ;2007;p75p76;;;;;;;;;;;;;;;;;;;;;;;;;;;;442162.520011;;;;;;;;;;;;;;;;;;0.0113741391;438570.735629
;CZ;2007;p76p77;;;;;;;;;;;;;;;;;;;;;;;;;;;;449262.256673;;;;;;;;;;;;;;;;;;0.0115567719;445735.361646
;CZ;2007;p77p78;;;;;;;;;;;;;;;;;;;;;;;;;;;;456229.594562;;;;;;;;;;;;;;;;;;0.011735999;452765.172942
;CZ;2007;p78p79;;;;;;;;;;;;;;;;;;;;;;;;;;;;463156.258067;;;;;;;;;;;;;;;;;;0.0119141797;459684.266806
;CZ;2007;p79p80;;;;;;;;;;;;;;;;;;;;;;;;;;;;470316.477234;;;;;;;;;;;;;;;;;;0.0120983683;466662.644806
;CZ;2007;p80p81;;;;;;;;;;;;;;;;;;;;;;;;;;;;478216.211966;;;;;;;;;;;;;;;;;;0.0123015802;474094.473005
;CZ;2007;p81p82;;;;;;;;;;;;;;;;;;;;;;;;;;;;487185.560185;;;;;;;;;;;;;;;;;;0.0125323067;482522.829923
;CZ;2007;p82p83;;;;;;;;;;;;;;;;;;;;;;;;;;;;497177.146789;;;;;;;;;;;;;;;;;;0.0127893292;492018.940017
;CZ;2007;p83p84;;;;;;;;;;;;;;;;;;;;;;;;;;;;508089.680808;;;;;;;;;;;;;;;;;;0.013070042;502489.036682
;CZ;2007;p84p85;;;;;;;;;;;;;;;;;;;;;;;;;;;;519811.43667;;;;;;;;;;;;;;;;;;0.0133715711;513825.175558
;CZ;2007;p85p86;;;;;;;;;;;;;;;;;;;;;;;;;;;;532233.877637;;;;;;;;;;;;;;;;;;0.0136911246;525914.010971
;CZ;2007;p86p87;;;;;;;;;;;;;;;;;;;;;;;;;;;;545280.283083;;;;;;;;;;;;;;;;;;0.0140267289;538656.380196
;CZ;2007;p87p88;;;;;;;;;;;;;;;;;;;;;;;;;;;;558962.567323;;;;;;;;;;;;;;;;;;0.0143786904;552007.074753
;CZ;2007;p88p89;;;;;;;;;;;;;;;;;;;;;;;;;;;;573492.037016;;;;;;;;;;;;;;;;;;0.0147524449;566052.7893
;CZ;2007;p89p90;;;;;;;;;;;;;;;;;;;;;;;;;;;;589496.131807;;;;;;;;;;;;;;;;;;0.0151641324;581163.896414
;CZ;2007;p90p91;;;;;;;;;;;;;;;;;;;;;;;;;;;;608023.239212;;;;;;;;;;;;;;;;;;0.0156407216;598293.281148
;CZ;2007;p91p92;;;;;;;;;;;;;;;;;;;;;;;;;;;;629936.461354;;;;;;;;;;;;;;;;;;0.0162044149;618322.19403
;CZ;2007;p92p93;;;;;;;;;;;;;;;;;;;;;;;;;;;;656481.929502;;;;;;;;;;;;;;;;;;0.0168872676;642312.573759
