Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal debt | individuals | Average | Adults | constant 2015 local currency;Personal debt | individuals | Average | All Ages | constant 2015 local currency;Personal dwellings | individuals | Average | Adults | constant 2015 local currency;Personal dwellings | individuals | Average | All Ages | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal financial assets | individuals | Average | Adults | constant 2015 local currency;Personal financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | Adults | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | All Ages | constant 2015 local currency;Personal housing assets | individuals | Average | Adults | constant 2015 local currency;Personal housing assets | individuals | Average | All Ages | constant 2015 local currency;Personal land underlying dwellings | individuals | Average | Adults | constant 2015 local currency;Personal land underlying dwellings | individuals | Average | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Average | Adults | constant 2015 local currency;Personal other domestic capital | individuals | Average | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | Adults | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Personal agricultural land | individuals | Total | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal debt | individuals | Total | All Ages | constant 2015 local currency;Personal dwellings | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Total | All Ages | constant 2015 local currency;Personal housing assets | individuals | Total | All Ages | constant 2015 local currency;Personal land underlying dwellings | individuals | Total | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Total | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency
;NO;2005;p99.9p99.99;17244345.2939;;;;;;;;;;;;;;;;;;;;;;;;;;;;34488992.572;;;;;;;;;;;;;;;;;;;0.0432441115;0.0432441115;9423064.30321;18846293.6238
;NO;2005;p99p99.5;2166369.61285;;;;;;;;;;;;;;;;;;;;;;;;;;;;4332777.16333;;;;;;;;;;;;;;;;;;;0.0301814651;0.0301814651;1744397.32822;3488825.20444
;NO;2005;p95p100;2019197.36088;;;;;;;;;;;;;;;;;;;;;;;;;;;;4038430.08208;;2.6500319843;2.6500319843;;;;;;;;;;;;;;;;0.2813108826;0.2813108826;761952.071853;1523917.48706
;NO;2005;p99.5p100;9666812.66736;;;;;;;;;;;;;;;;;;;;;;;;;;;;19333794.6206;;3.4297469221;3.4297469221;;;;;;;;;;;;;;;;0.1346762657;0.1346762657;2818520.6917;5637090.74153
;NO;2005;p99.95p100;47451485.4479;;;;;;;;;;;;;;;;;;;;;;;;;;;;94903801.8697;;3.1233340814;3.1233340814;;;;;;;;;;;;;;;;0.0661085415;0.0661085415;15192574.4126;30385414.8787
;NO;2004;p0p100;366331.960813;366331.960813;44844.7096473;33182.9574567;184288.486488;136364.736331;554737.595822;410479.501074;650992.901146;481703.860127;1431231.62959;1059043.50031;168572.874713;124735.929254;659240.068996;487806.373044;243823.327937;180417.69434;1142440.66992;845351.892009;491447.768778;363648.031882;1326729.15641;981716.62834;139443.77684;103181.778874;246843.866346;182652.749451;690192.686857;690192.686857;;;1.30941656721e+12;1.51893560891e+11;6.24203716871e+11;1.87895226555e+12;2.20497870647e+12;4.8477260838e+12;5.70973352513e+11;2.23291269694e+12;8.2585423788e+11;3.86956193554e+12;1.66458322908e+12;4.49376565241e+12;4.7231015598e+11;8.36085106543e+11;2.46702399848e+12;;;;
;NO;2004;p99p100;4257732.8461;;;;;;;;;;;;;;;;;;;;;;;;;;;;8021839.17136;;2.7476976253;2.7476976253;;;;;;;;;;;;;;;;0.1162260818;0.1162260818;1549563.82643;2919476.69115
;NO;2004;p99.9p100;20104444.4337;;;;;;;;;;;;;;;;;;;;;;;;;;;;37878050.5275;;3.1729029834;3.1729029834;;;;;;;;;;;;;;;;0.0548803997;0.0548803997;6336293.4634;11937979.4231
;NO;2004;p99.99p100;94143162.817;;;;;;;;;;;;;;;;;;;;;;;;;;;;177371699.564;;2.8739414379;2.8739414379;;;;;;;;;;;;;;;;0.0256988668;0.0256988668;32757509.1044;61717228.2028
;NO;2004;p90p100;1161394.1311;;;;;;;;;;;;;;;;;;;;;;;;;;;;2188140.32515;;2.0001703917;2.0001703917;;;;;;;;;;;;;;;;0.3170332527;0.3170332527;580647.596796;1093976.9603
;NO;2004;p90p95;659974.534722;;;;;;;;;;;;;;;;;;;;;;;;;;;;1243433.95091;;;;;;;;;;;;;;;;;;;0.0900787544;0.0900787544;580647.596796;1093976.9603
;NO;2004;p95p99;1014083.94783;;;;;;;;;;;;;;;;;;;;;;;;;;;;1910598.5814;;;;;;;;;;;;;;;;;;;0.1107284164;0.1107284164;772511.452962;1455460.65422
;NO;2004;p99.5p99.9;3350939.00154;;;;;;;;;;;;;;;;;;;;;;;;;;;;6313381.96055;;;;;;;;;;;;;;;;;;;0.036589098;0.036589098;2214436.14691;4172138.38158
;NO;2004;p99.95p99.99;16831716.0915;;;;;;;;;;;;;;;;;;;;;;;;;;;;31712022.4176;;;;;;;;;;;;;;;;;;;0.0183786488;0.0183786488;10362282.4737;19523198.4855
;NO;2004;p99.9p99.95;7914883.43094;;;;;;;;;;;;;;;;;;;;;;;;;;;;14912143.2081;;;;;;;;;;;;;;;;;;;0.0108028841;0.0108028841;6336293.4634;11937979.4231
;NO;2004;p99.9p99.99;11877920.1689;;;;;;;;;;;;;;;;;;;;;;;;;;;;22378756.1901;;;;;;;;;;;;;;;;;;;0.0291815329;0.0291815329;6336293.4634;11937979.4231
;NO;2004;p99p99.5;1813825.60422;;;;;;;;;;;;;;;;;;;;;;;;;;;;3417362.66879;;;;;;;;;;;;;;;;;;;0.0247565842;0.0247565842;1549563.82643;2919476.69115
;NO;2004;p95p100;1662813.72748;;;;;;;;;;;;;;;;;;;;;;;;;;;;3132846.69939;;2.1524777673;2.1524777673;;;;;;;;;;;;;;;;0.2269544983;0.2269544983;772511.452962;1455460.65422
;NO;2004;p99.5p100;6701640.08798;;;;;;;;;;;;;;;;;;;;;;;;;;;;12626315.6739;;3.026341535;3.026341535;;;;;;;;;;;;;;;;0.0914694977;0.0914694977;2214436.14691;4172138.38158
;NO;2004;p99.95p100;32294005.4366;;;;;;;;;;;;;;;;;;;;;;;;;;;;60843957.8468;;3.1164953782;3.1164953782;;;;;;;;;;;;;;;;0.0440775156;0.0440775156;10362282.4737;19523198.4855
;NO;2003;p0p100;378525.662239;378525.662239;47800.1702425;35384.4903337;176265.159015;130481.811753;532776.597717;394392.494343;642331.443846;475491.418765;1412694.94303;1045759.67622;164976.437421;122125.237747;643829.878671;476600.648132;244662.338476;181113.416687;1125376.50306;833069.71068;483045.059216;357578.291915;1301641.66208;963551.522433;128464.988772;95097.3214188;234191.102773;173361.993698;664880.133859;664880.133859;;;1.34361546696e+12;1.61079116891e+11;5.93986088514e+11;1.79537402116e+12;2.16455676205e+12;4.7605615776e+12;5.55944857786e+11;2.16960625366e+12;8.24473913338e+11;3.79234325658e+12;1.62778649453e+12;4.3863293451e+12;4.32906971624e+11;7.89187482535e+11;2.36005988667e+12;;;;
;NO;2003;p99p100;3935505.4374;;;;;;;;;;;;;;;;;;;;;;;;;;;;6912713.30601;;2.555911998;2.555911998;;;;;;;;;;;;;;;;0.1039693165;0.1039693165;1539765.62594;2704597.5415
;NO;2003;p99.9p100;17318236.0118;;;;;;;;;;;;;;;;;;;;;;;;;;;;30419472.7766;;2.8527879844;2.8527879844;;;;;;;;;;;;;;;;0.0457518148;0.0457518148;6070635.49995;10663068.1786
;NO;2003;p99.99p100;73537490.0684;;;;;;;;;;;;;;;;;;;;;;;;;;;;129168564.031;;2.4972963784;2.4972963784;;;;;;;;;;;;;;;;0.019427346;0.019427346;29446841.2735;51723361.7713
;NO;2003;p90p100;1128874.55383;;;;;;;;;;;;;;;;;;;;;;;;;;;;1982867.58161;;1.9369613189;1.9369613189;;;;;;;;;;;;;;;;0.298229332;0.298229332;582806.968216;1023700.14426
;NO;2003;p90p95;661030.818619;;;;;;;;;;;;;;;;;;;;;;;;;;;;1161100.29785;;;;;;;;;;;;;;;;;;;0.0873165131;0.0873165131;582806.968216;1023700.14426
;NO;2003;p95p99;1012021.50195;;;;;;;;;;;;;;;;;;;;;;;;;;;;1777615.25521;;;;;;;;;;;;;;;;;;;0.1069435024;0.1069435024;771992.08095;1356003.69889
;NO;2003;p99.5p99.9;3266359.82978;;;;;;;;;;;;;;;;;;;;;;;;;;;;5737359.3854;;;;;;;;;;;;;;;;;;;0.034516654;0.034516654;2175142.04229;3820635.89477
;NO;2003;p99.95p99.99;15455550.7097;;;;;;;;;;;;;;;;;;;;;;;;;;;;27147666.9877;;;;;;;;;;;;;;;;;;;0.0163323677;0.0163323677;9660447.35178;16968570.8768
;NO;2003;p99.9p99.95;7564533.44207;;;;;;;;;;;;;;;;;;;;;;;;;;;;13287099.1568;;;;;;;;;;;;;;;;;;;0.0099921012;0.0099921012;6070635.49995;10663068.1786
;NO;2003;p99.9p99.99;11071652.2277;;;;;;;;;;;;;;;;;;;;;;;;;;;;19447351.5261;;;;;;;;;;;;;;;;;;;0.0263244689;0.0263244689;6070635.49995;10663068.1786
;NO;2003;p99p99.5;1794275.80863;;;;;;;;;;;;;;;;;;;;;;;;;;;;3151644.54839;;;;;;;;;;;;;;;;;;;0.0237008476;0.0237008476;1539765.62594;2704597.5415
;NO;2003;p95p100;1596718.28904;;;;;;;;;;;;;;;;;;;;;;;;;;;;2804634.86537;;2.0683091555;2.0683091555;;;;;;;;;;;;;;;;0.2109128189;0.2109128189;771992.08095;1356003.69889
;NO;2003;p99.5p100;6076735.06618;;;;;;;;;;;;;;;;;;;;;;;;;;;;10673782.0636;;2.793718731;2.793718731;;;;;;;;;;;;;;;;0.0802684689;0.0802684689;2175142.04229;3820635.89477
;NO;2003;p99.95p100;27071938.5815;;;;;;;;;;;;;;;;;;;;;;;;;;;;47551846.3964;;2.8023483381;2.8023483381;;;;;;;;;;;;;;;;0.0357597136;0.0357597136;9660447.35178;16968570.8768
;NO;2002;p0p100;373189.005483;373189.005483;49525.6249746;36668.1655322;166896.566597;123568.171706;501646.492238;371412.912517;634045.091837;469439.212414;1414078.81064;1046966.61437;172528.988644;127738.347935;629047.912275;465739.361933;234062.499569;173297.005004;1119780.824;829071.993244;485735.732165;359632.78083;1286677.3906;952640.16495;117370.941622;86900.0061742;222456.424062;164704.008994;657689.23819;657689.23819;;;1.3171761526e+12;1.65889200967e+11;5.59030564299e+11;1.68029652948e+12;2.12377397995e+12;4.73654606319e+12;5.77896716789e+11;2.10703561218e+12;7.84007088243e+11;3.75077641619e+12;1.62700243624e+12;4.30980698049e+12;3.93141363332e+11;7.45131807152e+11;2.32132396088e+12;;;;
;NO;2002;p99p100;3587415.69638;;;;;;;;;;;;;;;;;;;;;;;;;;;;6322278.15332;;2.449271753;2.449271753;;;;;;;;;;;;;;;;0.0961286545;0.0961286545;1464686.67348;2581288.96701
;NO;2002;p99.9p100;15533865.6526;;;;;;;;;;;;;;;;;;;;;;;;;;;;27376091.2489;;2.8950305674;2.8950305674;;;;;;;;;;;;;;;;0.0416246605;0.0416246605;5365700.04728;9456235.64627
;NO;2002;p99.99p100;72185266.649;;;;;;;;;;;;;;;;;;;;;;;;;;;;127215626.22;;3.1754888161;3.1754888161;;;;;;;;;;;;;;;;0.0193428171;0.0193428171;22732017.2828;40061745.9507
;NO;2002;p90p100;1078612.23364;;;;;;;;;;;;;;;;;;;;;;;;;;;;1900891.0976;;1.8662281442;1.8662281442;;;;;;;;;;;;;;;;0.2890257263;0.2890257263;577963.759144;1018573.80273
;NO;2002;p90p95;653605.784411;;;;;;;;;;;;;;;;;;;;;;;;;;;;1151881.44375;;;;;;;;;;;;;;;;;;;0.087570343;0.087570343;577963.759144;1018573.80273
;NO;2002;p95p99;982669.429486;;;;;;;;;;;;;;;;;;;;;;;;;;;;1731806.40098;;;;;;;;;;;;;;;;;;;0.1053267288;0.1053267288;760048.212284;1339470.14081
;NO;2002;p99.5p99.9;2974306.33018;;;;;;;;;;;;;;;;;;;;;;;;;;;;5241765.52819;;;;;;;;;;;;;;;;;;;0.0318798923;0.0318798923;2023624.19279;3566331.89665
;NO;2002;p99.95p99.99;12615339.8725;;;;;;;;;;;;;;;;;;;;;;;;;;;;22232630.5125;;;;;;;;;;;;;;;;;;;0.013521663;0.013521663;8283257.09791;14597989.1433
;NO;2002;p99.9p99.95;6538406.07739;;;;;;;;;;;;;;;;;;;;;;;;;;;;11522952.8438;;;;;;;;;;;;;;;;;;;0.0087601805;0.0087601805;5365700.04728;9456235.64627
;NO;2002;p99.9p99.99;9239265.54187;;;;;;;;;;;;;;;;;;;;;;;;;;;;16282809.5854;;;;;;;;;;;;;;;;;;;0.0222818434;0.0222818434;5365700.04728;9456235.64627
;NO;2002;p99p99.5;1688613.19811;;;;;;;;;;;;;;;;;;;;;;;;;;;;2975925.63431;;;;;;;;;;;;;;;;;;;0.0226241016;0.0226241016;1464686.67348;2581288.96701
;NO;2002;p95p100;1503618.68287;;;;;;;;;;;;;;;;;;;;;;;;;;;;2649900.75145;;1.9783201362;1.9783201362;;;;;;;;;;;;;;;;0.2014553833;0.2014553833;760048.212284;1339470.14081
;NO;2002;p99.5p100;5486218.19466;;;;;;;;;;;;;;;;;;;;;;;;;;;;9668630.67232;;2.7110854941;2.7110854941;;;;;;;;;;;;;;;;0.0735045528;0.0735045528;2023624.19279;3566331.89665
;NO;2002;p99.95p100;24529325.2278;;;;;;;;;;;;;;;;;;;;;;;;;;;;43229229.6539;;2.9613140022;2.9613140022;;;;;;;;;;;;;;;;0.03286448;0.03286448;8283257.09791;14597989.1433
;NO;2001;p0p100;342063.264426;342063.264426;46144.4909608;34172.5637616;153383.4049;113588.947993;448547.401703;332174.315193;588951.265688;436151.190752;1341373.26613;993361.55867;176010.595898;130345.64226;590510.977461;437306.244127;210919.292445;156197.474922;1046026.28547;774640.681743;457075.019781;338489.49099;1199409.69037;888229.629735;107238.913939;79416.3842313;203581.089117;150763.126945;652533.121414;652533.121414;;;1.20013647928e+12;1.53893953856e+11;5.11540557593e+11;1.49592576931e+12;1.96417897388e+12;4.47354020433e+12;5.87003257796e+11;1.96938068283e+12;7.03425331674e+11;3.48854473322e+12;1.52436575935e+12;4.00008529082e+12;3.57646603737e+11;6.78952093356e+11;2.28942679437e+12;;;;
;NO;2001;p99p100;2517415.71281;;;;;;;;;;;;;;;;;;;;;;;;;;;;4802319.6403;;1.9230118773;1.9230118773;;;;;;;;;;;;;;;;0.0735950327;0.0735950327;1309100.44944;2497290.68086
;NO;2001;p99.9p100;8434090.49844;;;;;;;;;;;;;;;;;;;;;;;;;;;;16089197.4427;;2.1874518159;2.1874518159;;;;;;;;;;;;;;;;0.0246565223;0.0246565223;3855669.15679;7355223.70179
;NO;2001;p99.99p100;30215155.8484;;;;;;;;;;;;;;;;;;;;;;;;;;;;57639600.6535;;2.3504458219;2.3504458219;;;;;;;;;;;;;;;;0.0088332069;0.0088332069;12855074.372;24522837.3765
;NO;2001;p90p100;918977.614053;;;;;;;;;;;;;;;;;;;;;;;;;;;;1753077.26193;;1.6983600835;1.6983600835;;;;;;;;;;;;;;;;0.2686572075;0.2686572075;541097.040012;1032217.65453
;NO;2001;p90p95;610979.554617;;;;;;;;;;;;;;;;;;;;;;;;;;;;1165528.24391;;;;;;;;;;;;;;;;;;;0.0893079758;0.0893079758;541097.040012;1032217.65453
;NO;2001;p95p99;904365.663657;;;;;;;;;;;;;;;;;;;;;;;;;;;;1725202.93986;;;;;;;;;;;;;;;;;;;0.105754199;0.105754199;708774.776486;1352086.19393
;NO;2001;p99.5p99.9;2333799.89477;;;;;;;;;;;;;;;;;;;;;;;;;;;;4452046.99968;;;;;;;;;;;;;;;;;;;0.0272908568;0.0272908568;1725177.49415;3291015.35397
;NO;2001;p99.95p99.99;7780830.86205;;;;;;;;;;;;;;;;;;;;;;;;;;;;14843014.0785;;;;;;;;;;;;;;;;;;;0.0090987039;0.0090987039;5618352.64953;10717786.9502
;NO;2001;p99.9p99.95;4600485.13758;;;;;;;;;;;;;;;;;;;;;;;;;;;;8776063.49188;;;;;;;;;;;;;;;;;;;0.0067246115;0.0067246115;3855669.15679;7355223.70179
;NO;2001;p99.9p99.99;6013972.12623;;;;;;;;;;;;;;;;;;;;;;;;;;;;11472485.9748;;;;;;;;;;;;;;;;;;;0.0158233154;0.0158233154;3855669.15679;7355223.70179
;NO;2001;p99p99.5;1480973.41013;;;;;;;;;;;;;;;;;;;;;;;;;;;;2825162.19233;;;;;;;;;;;;;;;;;;;0.0216476536;0.0216476536;1309100.44944;2497290.68086
;NO;2001;p95p100;1226975.67349;;;;;;;;;;;;;;;;;;;;;;;;;;;;2340626.27995;;1.7311220915;1.7311220915;;;;;;;;;;;;;;;;0.1793492317;0.1793492317;708774.776486;1352086.19393
;NO;2001;p99.5p100;3553858.0155;;;;;;;;;;;;;;;;;;;;;;;;;;;;6779477.08827;;2.0599955816;2.0599955816;;;;;;;;;;;;;;;;0.0519473791;0.0519473791;1725177.49415;3291015.35397
;NO;2001;p99.95p100;12267695.8593;;;;;;;;;;;;;;;;;;;;;;;;;;;;23402331.3935;;2.1835040669;2.1835040669;;;;;;;;;;;;;;;;0.0179319108;0.0179319108;5618352.64953;10717786.9502
;NO;2000;p0p100;332809.809503;332809.809503;44283.1895582;32812.1004431;146149.978425;108291.38144;410677.837471;304296.112979;560163.754198;415059.293395;1271629.33949;942227.288279;172331.811212;127691.088999;558905.412089;414126.911422;197095.370829;146039.911963;977251.786449;724105.108396;417088.032251;309045.815001;1123401.76487;832396.489836;101866.788867;75479.2809974;189478.230047;140395.91046;633533.039176;633533.039176;;;1.16287111289e+12;1.46948893398e+11;4.84982626907e+11;1.36278922909e+12;1.85884180029e+12;4.21976208388e+12;5.71864159009e+11;1.85466613042e+12;6.54039307606e+11;3.24290255563e+12;1.38406075534e+12;3.72788518254e+12;3.38033733509e+11;6.28762663806e+11;2.21362847274e+12;;;;
;NO;2000;p99p100;3432515.03988;;;;;;;;;;;;;;;;;;;;;;;;;;;;6534097.32269;;2.4766653892;2.4766653892;;;;;;;;;;;;;;;;0.1031374359;0.1031374359;1385942.18456;2638264.07526
;NO;2000;p99.9p100;14641013.4501;;;;;;;;;;;;;;;;;;;;;;;;;;;;27870469.8084;;2.6681129746;2.6681129746;;;;;;;;;;;;;;;;0.0439921331;0.0439921331;5487403.86536;10445760.7581
;NO;2000;p99.99p100;59263786.8885;;;;;;;;;;;;;;;;;;;;;;;;;;;;112813883.331;;2.4181193836;2.4181193836;;;;;;;;;;;;;;;;0.0178071034;0.0178071034;24508213.8175;46653562.3088
;NO;2000;p90p100;1013425.06581;;;;;;;;;;;;;;;;;;;;;;;;;;;;1929144.64535;;1.8988713791;1.8988713791;;;;;;;;;;;;;;;;0.3045057678;0.3045057678;533698.63644;1015942.76819
;NO;2000;p90p95;604930.681774;;;;;;;;;;;;;;;;;;;;;;;;;;;;1151539.29473;;;;;;;;;;;;;;;;;;;0.0908823395;0.0908823395;533698.63644;1015942.76819
;NO;2000;p95p99;919270.552347;;;;;;;;;;;;;;;;;;;;;;;;;;;;1749913.16429;;;;;;;;;;;;;;;;;;;0.1104859924;0.1104859924;705494.766693;1342971.96448
;NO;2000;p99.5p99.9;2908377.89915;;;;;;;;;;;;;;;;;;;;;;;;;;;;5536355.71102;;;;;;;;;;;;;;;;;;;0.0349554348;0.0349554348;1943420.79399;3699474.13465
;NO;2000;p99.95p99.99;13304713.6717;;;;;;;;;;;;;;;;;;;;;;;;;;;;25326704.4635;;;;;;;;;;;;;;;;;;;0.0159907711;0.0159907711;8642335.90598;16451454.1812
;NO;2000;p99.9p99.95;6785498.5852;;;;;;;;;;;;;;;;;;;;;;;;;;;;12916799.3799;;;;;;;;;;;;;;;;;;;0.0101942587;0.0101942587;5487403.86536;10445760.7581
;NO;2000;p99.9p99.99;9682927.51255;;;;;;;;;;;;;;;;;;;;;;;;;;;;18432312.7504;;;;;;;;;;;;;;;;;;;0.0261850297;0.0261850297;5487403.86536;10445760.7581
;NO;2000;p99p99.5;1610125.07042;;;;;;;;;;;;;;;;;;;;;;;;;;;;3065016.11488;;;;;;;;;;;;;;;;;;;0.024189868;0.024189868;1385942.18456;2638264.07526
;NO;2000;p95p100;1421919.44985;;;;;;;;;;;;;;;;;;;;;;;;;;;;2706749.99597;;2.015492555;2.015492555;;;;;;;;;;;;;;;;0.2136234283;0.2136234283;705494.766693;1342971.96448
;NO;2000;p99.5p100;5254905.00935;;;;;;;;;;;;;;;;;;;;;;;;;;;;10003178.5305;;2.7039460654;2.7039460654;;;;;;;;;;;;;;;;0.0789475679;0.0789475679;1943420.79399;3699474.13465
;NO;2000;p99.95p100;22496528.3151;;;;;;;;;;;;;;;;;;;;;;;;;;;;42824140.2369;;2.603061089;2.603061089;;;;;;;;;;;;;;;;0.0337978745;0.0337978745;8642335.90598;16451454.1812
;NO;1999;p0p100;359307.709679;359307.709679;51419.7887414;38145.00316;161119.413398;119524.033133;433821.030414;321823.659355;613326.951065;454987.44859;1301952.25351;965833.855799;175884.71833;130477.454317;583070.48789;432542.142772;208358.208412;154567.428471;991583.38264;735591.339249;378256.431574;280603.890659;1152702.79604;855115.372382;109699.624656;81379.0299726;198827.561149;147497.259984;608798.040256;608798.040256;;;1.2497365142e+12;1.69567088752e+11;5.31323650682e+11;1.43061204582e+12;2.02256889985e+12;4.29344924836e+12;5.80015211521e+11;1.92279213099e+12;6.87103072237e+11;3.26994551251e+12;1.24737661266e+12;3.8012691632e+12;3.61756561929e+11;6.55673847227e+11;2.11750853151e+12;;;;
;NO;1999;p99p100;3012777.75211;;;;;;;;;;;;;;;;;;;;;;;;;;;;5104742.09654;;2.1187109794;2.1187109794;;;;;;;;;;;;;;;;0.0838495159;0.0838495159;1421986.18943;2409362.17642
;NO;1999;p99.9p100;11188414.0459;;;;;;;;;;;;;;;;;;;;;;;;;;;;18957245.7291;;2.4065923727;2.4065923727;;;;;;;;;;;;;;;;0.0311388087;0.0311388087;4649069.021;7877215.07988
;NO;1999;p99.99p100;42855291.1799;;;;;;;;;;;;;;;;;;;;;;;;;;;;72612461.637;;2.3964118409;2.3964118409;;;;;;;;;;;;;;;;0.0119271839;0.0119271839;17883107.7566;30300493.5954
;NO;1999;p90p100;1017243.83065;;;;;;;;;;;;;;;;;;;;;;;;;;;;1723581.30338;;1.7469175432;1.7469175432;;;;;;;;;;;;;;;;0.2831121635;0.2831121635;582307.868285;986641.476061
;NO;1999;p90p95;655792.903884;;;;;;;;;;;;;;;;;;;;;;;;;;;;1111151.87329;;;;;;;;;;;;;;;;;;;0.0912578392;0.0912578392;582307.868285;986641.476061
;NO;1999;p95p99;970174.008745;;;;;;;;;;;;;;;;;;;;;;;;;;;;1643827.8927;;;;;;;;;;;;;;;;;;;0.1080048084;0.1080048084;758443.967287;1285080.13741
;NO;1999;p99.5p99.9;2705431.00365;;;;;;;;;;;;;;;;;;;;;;;;;;;;4583984.83723;;;;;;;;;;;;;;;;;;;0.0301182628;0.0301182628;1920172.22682;3253470.65247
;NO;1999;p99.95p99.99;10178999.3945;;;;;;;;;;;;;;;;;;;;;;;;;;;;17246929.905;;;;;;;;;;;;;;;;;;;0.0113317907;0.0113317907;7011756.72803;11880468.0217
;NO;1999;p99.9p99.95;5662570.34021;;;;;;;;;;;;;;;;;;;;;;;;;;;;9594455.20669;;;;;;;;;;;;;;;;;;;0.0078798342;0.0078798342;4649069.021;7877215.07988
;NO;1999;p99.9p99.99;7669872.14214;;;;;;;;;;;;;;;;;;;;;;;;;;;;12995555.0726;;;;;;;;;;;;;;;;;;;0.0192116249;0.0192116249;4649069.021;7877215.07988
;NO;1999;p99p99.5;1623527.89211;;;;;;;;;;;;;;;;;;;;;;;;;;;;2750847.17748;;;;;;;;;;;;;;;;;;;0.0225924444;0.0225924444;1421986.18943;2409362.17642
;NO;1999;p95p100;1378694.75742;;;;;;;;;;;;;;;;;;;;;;;;;;;;2336010.73346;;1.8177938211;1.8177938211;;;;;;;;;;;;;;;;0.1918543243;0.1918543243;758443.967287;1285080.13741
;NO;1999;p99.5p100;4402027.6121;;;;;;;;;;;;;;;;;;;;;;;;;;;;7458637.0156;;2.2925170725;2.2925170725;;;;;;;;;;;;;;;;0.0612570715;0.0612570715;1920172.22682;3253470.65247
;NO;1999;p99.95p100;16714257.7516;;;;;;;;;;;;;;;;;;;;;;;;;;;;28320036.2514;;2.3837475258;2.3837475258;;;;;;;;;;;;;;;;0.0232589746;0.0232589746;7011756.72803;11880468.0217
;NO;1998;p0p100;363570.982193;363570.982193;55162.0821769;40942.8585304;166485.817244;123570.485264;432302.897526;320867.445122;629282.01982;467070.924382;1245743.36534;924625.981459;172378.414846;127944.13797;574513.829508;426420.423542;205227.681356;152325.793238;937046.61611;695502.517776;307764.59629;228431.593394;1103532.43335;819073.00304;111323.735067;82627.6267332;196907.733306;146150.492334;596146.884253;596146.884253;;;1.25684526894e+12;1.80869130901e+11;5.4588485213e+11;1.4174637047e+12;2.06333204848e+12;4.08462681107e+12;5.6520589595e+11;1.88375443662e+12;6.72914271884e+11;3.07245122702e+12;1.00911917854e+12;3.61833607915e+12;3.65015721229e+11;6.45634268783e+11;2.06084761371e+12;;;;
;NO;1998;p99p100;2905715.15039;;;;;;;;;;;;;;;;;;;;;;;;;;;;4764497.49368;;2.0432447107;2.0432447107;;;;;;;;;;;;;;;;0.0799215364;0.0799215364;1422108.24535;2331829.1092
;NO;1998;p99.9p100;10403194.5431;;;;;;;;;;;;;;;;;;;;;;;;;;;;17058105.0658;;2.3080353634;2.3080353634;;;;;;;;;;;;;;;;0.0286139297;0.0286139297;4507380.91278;7390746.83873
;NO;1998;p99.99p100;37351597.3544;;;;;;;;;;;;;;;;;;;;;;;;;;;;61245367.4119;;2.128062297;2.128062297;;;;;;;;;;;;;;;;0.0102735364;0.0102735364;17551928.5344;28779875.24
;NO;1998;p90p100;1016619.18755;;;;;;;;;;;;;;;;;;;;;;;;;;;;1666949.20885;;1.7149890487;1.7149890487;;;;;;;;;;;;;;;;0.2796205521;0.2796205521;592784.65266;971988.252707
